municipality,group,variable,month,9.24 Nro de segundas visitas Familiares realizadas,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,51,51
ACHOCALLA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,16,16
APOLO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,2,2
ARANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,18,18
ARBIETO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,10,10
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,138,138
ATOCHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,14,14
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,49,49
BAURES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,78,78
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,55,55
BELLA FLOR,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,43,43
BOLIVAR,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,7,7
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,51,51
CABEZAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,28,28
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,13,13
CAMIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,183,183
CARACOLLO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,122,122
CARANAVI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,20,20
CARAPARI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,11,11
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,2,2
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,115,115
CHARAGUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,172,172
CHIMORE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,93,93
CHUMA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,90,90
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,14,14
CKOCHAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,51,51
COBIJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,33,33
COCHABAMBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,25,25
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,76,76
COLQUECHACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,4,4
COLQUIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,6,6
COMARAPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,61,61
CONCEPCION,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,25,25
CORO CORO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,7,7
CORQUE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,5,5
COTAGAITA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,9,9
COTOCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,36,36
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,140,140
CUEVO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,4,4
CULPINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,22,22
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,5,5
EL ALTO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,947,947
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,93,93
EL TORNO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,364,364
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,174,174
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,84,84
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,121,121
GIA-TIM,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,5,5
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,6,6
GUAQUI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,30,30
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,378,378
HUACARAJE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,93,93
HUANUNI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,37,37
