municipality,group,variable,month,N°de beneficiarios(as) con promoción en Salud Oral,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,32,32
ACHOCALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,430,430
ALCALA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,42,42
ALTO BENI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,23,23
ARQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,82,82
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,276,276
ATOCHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,37,37
AYATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,26,26
BAURES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,20,20
BELLA FLOR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,27,27
BERMEJO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,74,74
BETANZOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,10,10
BOLPEBRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,8,8
CABEZAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,74,74
CAJUATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,56,56
CALAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,58,58
CAMARGO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,50,50
CAMIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,14,14
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,50,50
CARACOLLO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,10,10
CARANAVI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,10,10
CARIPUYO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,10,10
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,37,37
CHALLAPATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,79,79
CHARAGUA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,34,34
CHUMA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,12,12
COBIJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,98,98
COCAPATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,2,2
COCHABAMBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,231,231
COLLANA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,78,78
COLOMI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,7,7
COLQUECHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,153,153
COLQUENCHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,280,280
COLQUIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,11,11
CORO CORO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,61,61
COTAGAITA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,13,13
COTOCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,197,197
CULPINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,38,38
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,42,42
CURVA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,8,8
EL ALTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,540,540
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,58,58
EL TORNO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,91,91
EL VILLAR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,4,4
FILADELFIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,36,36
GUANAY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,27,27
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,39,39
