municipality,group,variable,month,N°de beneficiarios(as) con educación en Salud Oral,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,16,16
ACHOCALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,513,513
ALCALA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,58,58
ALTO BENI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,23,23
ANCORAIMES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,30,30
ARQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,82,82
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,276,276
ATOCHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,37,37
AYATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,15,15
BATALLAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,10,10
BELLA FLOR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,27,27
BERMEJO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,74,74
BETANZOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,8,8
BOLPEBRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,8,8
CABEZAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,57,57
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,34,34
CAJUATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,82,82
CALAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,28,28
CAMARGO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,50,50
CAMIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,43,43
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,33,33
CARANAVI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,5,5
CARIPUYO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,13,13
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,37,37
CATACORA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,3,3
CHALLAPATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,79,79
CHARAGUA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,34,34
COBIJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,120,120
COCAPATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,11,11
COCHABAMBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,228,228
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,53,53
COLLANA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,371,371
COLOMI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,206,206
COLQUECHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,157,157
COLQUENCHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,150,150
CORO CORO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,129,129
COTAGAITA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,13,13
COTOCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,197,197
CULPINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,89,89
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,53,53
CURVA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,3,3
EL ALTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,1307,1307
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,58,58
EL TORNO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,135,135
EL VILLAR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,41,41
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,188,188
FILADELFIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,36,36
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,6,6
GUANAY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,8,8
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,37,37
HUACARETA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,51,51
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,47,47
HUANUNI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,16,16
HUARINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,8,8
HUMANATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,8,8
ICLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,58,58
INCAHUASI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,71,71
INQUISIVI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,67,67
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,20,20
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,16,16
LA ASUNTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,2,2
LA GUARDIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,20,20
LA PAZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,512,512
LAGUNILLAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,26,26
LAJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,12,12
LAS CARRERAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,4,4
LURIBAY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,45,45
MACHARETI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,42,42
MAGDALENA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,15,15
MALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,116,116
MAPIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,29,29
