municipality,group,variable,month,9.27 Nro de proyectos ejecutados en determinantes de salud,TOTAL
LA PAZ,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-02-01,1.0,1.0
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-02-01,2.0,2.0
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-02-01,6.0,6.0
CARANAVI,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-03-01,2.0,2.0
EL ALTO,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-03-01,1.0,1.0
ORURO,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-03-01,2.0,2.0
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-04-01,1.0,1.0
LA PAZ,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-04-01,1.0,1.0
SAN ANDRES,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-04-01,1.0,1.0
SAN JOAQUIN,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-04-01,9.0,9.0
ATOCHA,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-05-01,2.0,2.0
BAURES,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-05-01,1.0,1.0
BETANZOS,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-05-01,1.0,1.0
MAGDALENA,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-05-01,6.0,6.0
POTOSI,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-05-01,3.0,3.0
POTOSI,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-06-01,3.0,3.0
PUNA,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-06-01,1.0,1.0
SAN IGNACIO,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-06-01,1.0,1.0
LA PAZ,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-07-01,1.0,1.0
MAGDALENA,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-07-01,1.0,1.0
POTOSI,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-07-01,1.0,1.0
COTAGAITA,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-08-01,1.0,1.0
EL ALTO,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-08-01,1.0,1.0
LA PAZ,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-08-01,3.0,3.0
MAGDALENA,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-08-01,1.0,1.0
POTOSI,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-08-01,3.0,3.0
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-08-01,4.0,4.0
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-08-01,1.0,1.0
TINGUIPAYA,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-08-01,1.0,1.0
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-09-01,1.0,1.0
COLQUENCHA,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-09-01,1.0,1.0
EL ALTO,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-09-01,2.0,2.0
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-09-01,1.0,1.0
POTOSI,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-09-01,5.0,5.0
VACAS,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-09-01,50.0,50.0
BETANZOS,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-10-01,1.0,1.0
CHIMORE,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-10-01,2.0,2.0
MAGDALENA,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-10-01,1.0,1.0
POTOSI,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-10-01,3.0,3.0
TARIJA,actividades del establecimiento y con la comunidad,nro de proyectos ejecutados en determinantes de salud,2024-10-01,2.0,2.0
