municipality,group,variable,month,Nº de actividades educativas en Salud,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,4,4
ACHACACHI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,66,66
ACHOCALLA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,121,121
AIQUILE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,64,64
ALALAY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,1,1
ALCALA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,20,20
ALTO BENI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,101,101
ANCORAIMES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,38,38
ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,14,14
ANTEQUERA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,4,4
ANZALDO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,29,29
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,2,2
ARANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,12,12
ARBIETO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,7,7
ARQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,5,5
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,31,31
ATOCHA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,23,23
AYATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,2,2
AYO AYO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,88,88
AZURDUY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,19,19
BATALLAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,23,23
BAURES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,21,21
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,4,4
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,1,1
BELLA FLOR,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,2,2
BERMEJO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,15,15
BETANZOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,56,56
BOLIVAR,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,13,13
BOLPEBRA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,2,2
BOYUIBE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,13,13
CABEZAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,6,6
CAIROMA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,19,19
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,21,21
CAJUATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,35,35
CALACOTO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,4,4
CALAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,32,32
CAMARGO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,54,54
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,16,16
CAMIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,3,3
CAPINOTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,16,16
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,38,38
CARACOLLO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,31,31
CARANAVI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,36,36
CARANGAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,2,2
CARAPARI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,5,5
CARIPUYO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,45,45
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,17,17
CATACORA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,41,41
CHACARILLA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,4,4
CHALLAPATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,108,108
CHAQUI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,31,31
CHARAGUA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,28,28
CHARAÑA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,28,28
CHAYANTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2024-01-01,11,11
