municipality,group,variable,month,Nº de certificados únicos para casos de violencia (Ley 348),TOTAL
BATALLAS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,1,1
BELLA FLOR,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,8,8
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,6,6
CAMARGO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,5,5
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,2,2
CARACOLLO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,5,5
CKOCHAS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,10,10
COMARAPA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,1,1
COPACABANA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,1,1
CORO CORO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,1,1
CULPINA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,1,1
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,2,2
EUCALIPTUS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,1,1
GUANAY,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,6,6
HUANUNI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,9,9
INCAHUASI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,3,3
LA PAZ,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,5,5
LLICA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,1,1
MOCOMOCO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,1,1
OCURI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,5,5
POCOATA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,1,1
POROMA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,1,1
PRESTO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,3,3
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,2,2
PUERTO RICO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,2,2
PUNATA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,6,6
QUIABAYA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,1,1
QUIME,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,1,1
SACACA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,4,4
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,2,2
SAN LUCAS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,2,2
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,5,5
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,18,18
SENA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,3,3
SORATA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,2,2
TARABUCO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,1,1
TARVITA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,1,1
TIAHUANACU,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,5,5
TINGUIPAYA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,1,1
TOMINA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,2,2
UNCIA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,2,2
VITICHI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,2,2
YAMPARAEZ,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-01-01,1,1
ACACIO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,1,1
ALCALA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,1,1
AYATA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,6,6
BATALLAS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,12,12
CAIROMA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,3,3
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,7,7
CARACOLLO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,3,3
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,9,9
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,13,13
COTAGAITA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,1,1
CULPINA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,2,2
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,1,1
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,1,1
EUCALIPTUS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,5,5
GUANAY,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,7,7
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,2,2
HUANUNI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,6,6
INCAHUASI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,2,2
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,63,63
LICOMA PAMPA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,23,23
LLICA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,2,2
LURIBAY,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,1,1
MOCOMOCO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,1,1
OCURI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,4,4
ORURO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,1,1
PADILLA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,1,1
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,1,1
POCOATA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,8,8
PRESTO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,1,1
PUERTO RICO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,2,2
PUNA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,6,6
PUNATA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,2,2
QUIABAYA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,24,24
SACACA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2024-02-01,2,2
