municipality,group,variable,month,Antirrábica humana esquema completo,TOTAL
AIQUILE,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,2,2
ANZALDO,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,10,10
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,1,1
CABEZAS,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,10,10
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,1,1
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,4,4
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,22,22
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,1,1
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,2,2
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,4,4
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,1,1
FERNANDEZ ALONSO,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,1,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,6,6
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,68,68
LAJA,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,1,1
MAIRANA,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,1,1
MIZQUE,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,1,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,12,12
PATACAMAYA,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,1,1
PUERTO GONZALO MORENO,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,31,31
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,10,10
SAN ANTONIO DE LOMERIO,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,1,1
SAN LORENZO(TJA),otras vacunaciones,antirrabica humana esquema completo,2007-01-01,1,1
SAN MATIAS,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,111,111
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,39,39
TAPACARI,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,1,1
TARABUCO,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,1,1
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,2,2
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,1,1
VILLA MONTES,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,1,1
VINTO,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,3,3
VITICHI,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,1,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,15,15
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2007-01-01,6,6
AIQUILE,otras vacunaciones,antirrabica humana esquema completo,2007-02-01,3,3
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2007-02-01,32,32
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2007-02-01,1,1
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2007-02-01,3,3
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2007-02-01,8,8
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2007-02-01,8,8
EL VILLAR,otras vacunaciones,antirrabica humana esquema completo,2007-02-01,3,3
FERNANDEZ ALONSO,otras vacunaciones,antirrabica humana esquema completo,2007-02-01,1,1
GUAQUI,otras vacunaciones,antirrabica humana esquema completo,2007-02-01,1,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2007-02-01,8,8
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2007-02-01,63,63
LLALLAGUA,otras vacunaciones,antirrabica humana esquema completo,2007-02-01,3,3
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2007-02-01,2,2
ORURO,otras vacunaciones,antirrabica humana esquema completo,2007-02-01,42,42
PADILLA,otras vacunaciones,antirrabica humana esquema completo,2007-02-01,5,5
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2007-02-01,2,2
