municipality,group,variable,month,Mujeres de 15 a 49 años 2da dosis de dT,TOTAL
ACHACACHI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,42,42
ACHOCALLA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,13,13
AIQUILE,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,13,13
ALALAY,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,2,2
ALCALA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,2,2
ANCORAIMES,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,6,6
ANTEQUERA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,6,6
ANZALDO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,5,5
APOLO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,11,11
ARAMPAMPA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,4,4
ARANI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,17,17
ARBIETO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,28,28
ARQUE,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,11,11
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,49,49
ATOCHA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,15,15
AYATA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,36,36
AZURDUY,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,15,15
BATALLAS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,14,14
BAURES,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,5,5
BELEN DE ANDAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,2,2
BERMEJO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,24,24
BETANZOS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,35,35
BOLIVAR,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,1,1
BOYUIBE,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,6,6
BUENA VISTA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,37,37
CABEZAS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,26,26
CAIROMA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,5,5
CAJUATA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,6,6
CALACOTO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,2,2
CALAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,2,2
CAMARGO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,4,4
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,3,3
CAMIRI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,40,40
CAPINOTA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,35,35
CARACOLLO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,25,25
CARANAVI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,65,65
CARANGAS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,2,2
CARAPARI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,28,28
CARIPUYO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,4,4
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,10,10
CATACORA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,5,5
CHACARILLA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,2,2
CHALLAPATA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,35,35
CHAQUI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,4,4
CHARAGUA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,17,17
CHIMORE,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,24,24
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,29,29
CHUMA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,18,18
CLIZA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,79,79
COBIJA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,62,62
COCHABAMBA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,1016,1016
COLCAPIRHUA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,97,97
"COLCHA ""K""",otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,7,7
COLOMI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,36,36
COLPA BELGICA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,8,8
COLQUECHACA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,73,73
COLQUENCHA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,8,8
COLQUIRI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,14,14
COMARAPA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,29,29
CONCEPCION,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,37,37
COPACABANA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,3,3
CORIPATA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,16,16
CORO CORO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2007-01-01,3,3
