municipality,group,variable,month,Mujeres de 15 a 49 años 5ta dosis de dT,TOTAL
ACACIO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,2,2
ACHACACHI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,1,1
ACHOCALLA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,3,3
AIQUILE,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,3,3
ALALAY,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,2,2
ALCALA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,1,1
APOLO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,2,2
ARAMPAMPA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,5,5
ARANI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,2,2
ARBIETO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,1,1
ARQUE,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,2,2
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,5,5
AZURDUY,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,1,1
BATALLAS,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,2,2
BERMEJO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,4,4
BUENA VISTA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,11,11
CABEZAS,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,3,3
CAJUATA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,9,9
CAMARGO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,3,3
CAMIRI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,10,10
CAPINOTA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,2,2
CAQUIAVIRI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,1,1
CARANAVI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,7,7
CARAPARI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,4,4
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,3,3
CHACARILLA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,1,1
CHALLAPATA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,4,4
CHARAGUA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,2,2
CHIMORE,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,1,1
CHIPAYA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,3,3
CHUMA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,3,3
CLIZA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,1,1
COBIJA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,10,10
COCHABAMBA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,119,119
COLCAPIRHUA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,15,15
COLOMI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,5,5
COLQUECHACA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,1,1
COLQUENCHA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,1,1
COLQUIRI,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,1,1
COMARAPA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,1,1
CORIPATA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,2,2
COROICO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,1,1
COTOCA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,16,16
CUATRO CAÑADAS,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,1,1
CUEVO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,1,1
CULPINA,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,8,8
CURAHUARA DE CARANGAS,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,1,1
EL ALTO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,166,166
EL PUENTE(STC),otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,3,3
EL PUENTE(TJA),otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,3,3
EL TORNO,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,1,1
ENTRE RIOS,otras vacunaciones,mujeres de 15 a 49 anos  5ta dosis de dt,2007-01-01,6,6
