municipality,group,variable,month,Mujeres de 15 a 49 años 1ra dosis de dT,TOTAL
ACACIO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,12,12
ACHACACHI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,107,107
ACHOCALLA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,33,33
AIQUILE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,75,75
ALALAY,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,11,11
ALCALA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,12,12
ANCORAIMES,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,29,29
ANTEQUERA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,9,9
ANZALDO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,23,23
APOLO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,28,28
ARAMPAMPA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,6,6
ARANI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,54,54
ARBIETO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,53,53
ARQUE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,20,20
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,52,52
ATOCHA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,12,12
AUCAPATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,5,5
AYATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,5,5
AYO AYO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,150,150
AZURDUY,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,53,53
BATALLAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,23,23
BAURES,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,1,1
BELEN DE ANDAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,4,4
BELEN DE URMIRI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,8,8
BERMEJO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,57,57
BETANZOS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,17,17
BOLIVAR,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,11,11
BOYUIBE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,3,3
BUENA VISTA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,56,56
CABEZAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,43,43
CAIROMA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,10,10
CAJUATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,65,65
CALACOTO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,5,5
CALAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,30,30
CAMARGO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,8,8
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,1,1
CAMIRI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,55,55
CAPINOTA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,65,65
CAQUIAVIRI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,6,6
CARACOLLO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,60,60
CARANAVI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,162,162
CARAPARI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,47,47
CARIPUYO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,11,11
