municipality,group,variable,month,Antirrábica canina,TOTAL
AIQUILE,otras vacunaciones,antirrabica canina,2007-01-01,14,14
ANDAMARCA,otras vacunaciones,antirrabica canina,2007-01-01,4,4
ARANI,otras vacunaciones,antirrabica canina,2007-01-01,27,27
ARQUE,otras vacunaciones,antirrabica canina,2007-01-01,30,30
ATOCHA,otras vacunaciones,antirrabica canina,2007-01-01,8,8
AYO AYO,otras vacunaciones,antirrabica canina,2007-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica canina,2007-01-01,50,50
AZURDUY,otras vacunaciones,antirrabica canina,2007-01-01,118,118
BELEN DE URMIRI,otras vacunaciones,antirrabica canina,2007-01-01,2,2
BOLIVAR,otras vacunaciones,antirrabica canina,2007-01-01,13,13
CABEZAS,otras vacunaciones,antirrabica canina,2007-01-01,70,70
CALAMARCA,otras vacunaciones,antirrabica canina,2007-01-01,648,648
CAMARGO,otras vacunaciones,antirrabica canina,2007-01-01,30,30
CAPINOTA,otras vacunaciones,antirrabica canina,2007-01-01,13,13
CARACOLLO,otras vacunaciones,antirrabica canina,2007-01-01,10,10
CARAPARI,otras vacunaciones,antirrabica canina,2007-01-01,53,53
CHALLAPATA,otras vacunaciones,antirrabica canina,2007-01-01,102,102
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica canina,2007-01-01,64,64
CLIZA,otras vacunaciones,antirrabica canina,2007-01-01,7,7
COCHABAMBA,otras vacunaciones,antirrabica canina,2007-01-01,2270,2270
COLCAPIRHUA,otras vacunaciones,antirrabica canina,2007-01-01,247,247
COLLANA,otras vacunaciones,antirrabica canina,2007-01-01,57,57
COLOMI,otras vacunaciones,antirrabica canina,2007-01-01,31,31
COLPA BELGICA,otras vacunaciones,antirrabica canina,2007-01-01,1,1
COLQUENCHA,otras vacunaciones,antirrabica canina,2007-01-01,52,52
COLQUIRI,otras vacunaciones,antirrabica canina,2007-01-01,40,40
COROICO,otras vacunaciones,antirrabica canina,2007-01-01,2,2
CORQUE,otras vacunaciones,antirrabica canina,2007-01-01,26,26
CULPINA,otras vacunaciones,antirrabica canina,2007-01-01,9,9
CURAHUARA DE CARANGAS,otras vacunaciones,antirrabica canina,2007-01-01,15,15
EL ALTO,otras vacunaciones,antirrabica canina,2007-01-01,2482,2482
EL CHORO,otras vacunaciones,antirrabica canina,2007-01-01,5,5
EL PUENTE(STC),otras vacunaciones,antirrabica canina,2007-01-01,3,3
EL PUENTE(TJA),otras vacunaciones,antirrabica canina,2007-01-01,20,20
EL TORNO,otras vacunaciones,antirrabica canina,2007-01-01,130,130
EL VILLAR,otras vacunaciones,antirrabica canina,2007-01-01,732,732
ENTRE RIOS,otras vacunaciones,antirrabica canina,2007-01-01,7,7
ENTRE RIOS,otras vacunaciones,antirrabica canina,2007-01-01,10,10
EUCALIPTUS,otras vacunaciones,antirrabica canina,2007-01-01,7,7
GENERAL SAAVEDRA,otras vacunaciones,antirrabica canina,2007-01-01,123,123
GUAQUI,otras vacunaciones,antirrabica canina,2007-01-01,100,100
GUAYARAMERIN,otras vacunaciones,antirrabica canina,2007-01-01,164,164
HUACHACALLA,otras vacunaciones,antirrabica canina,2007-01-01,3,3
HUARACAJE,otras vacunaciones,antirrabica canina,2007-01-01,125,125
HUAYLLAMARCA,otras vacunaciones,antirrabica canina,2007-01-01,4,4
JESUS DE MACHACA,otras vacunaciones,antirrabica canina,2007-01-01,148,148
LA GUARDIA,otras vacunaciones,antirrabica canina,2007-01-01,104,104
LA PAZ,otras vacunaciones,antirrabica canina,2007-01-01,1587,1587
LAJA,otras vacunaciones,antirrabica canina,2007-01-01,242,242
MINEROS,otras vacunaciones,antirrabica canina,2007-01-01,460,460
MIZQUE,otras vacunaciones,antirrabica canina,2007-01-01,545,545
MOJOCOYA,otras vacunaciones,antirrabica canina,2007-01-01,363,363
MONTERO,otras vacunaciones,antirrabica canina,2007-01-01,280,280
MOROCHATA,otras vacunaciones,antirrabica canina,2007-01-01,215,215
OCURI,otras vacunaciones,antirrabica canina,2007-01-01,5,5
OKINAWA,otras vacunaciones,antirrabica canina,2007-01-01,113,113
OMEREQUE,otras vacunaciones,antirrabica canina,2007-01-01,23,23
PADCAYA,otras vacunaciones,antirrabica canina,2007-01-01,15,15
PADILLA,otras vacunaciones,antirrabica canina,2007-01-01,823,823
PATACAMAYA,otras vacunaciones,antirrabica canina,2007-01-01,950,950
POCOATA,otras vacunaciones,antirrabica canina,2007-01-01,10,10
POCONA,otras vacunaciones,antirrabica canina,2007-01-01,195,195
POJO (CBBA),otras vacunaciones,antirrabica canina,2007-01-01,50,50
PORCO,otras vacunaciones,antirrabica canina,2007-01-01,5,5
POROMA,otras vacunaciones,antirrabica canina,2007-01-01,11,11
PORTACHUELO,otras vacunaciones,antirrabica canina,2007-01-01,14,14
PUCARANI,otras vacunaciones,antirrabica canina,2007-01-01,11,11
PUERTO VILLARROEL,otras vacunaciones,antirrabica canina,2007-01-01,94,94
PUNATA,otras vacunaciones,antirrabica canina,2007-01-01,7,7
QUILLACOLLO,otras vacunaciones,antirrabica canina,2007-01-01,679,679
RAVELO,otras vacunaciones,antirrabica canina,2007-01-01,70,70
ROBORE,otras vacunaciones,antirrabica canina,2007-01-01,102,102
SACABA,otras vacunaciones,antirrabica canina,2007-01-01,2900,2900
SALINAS DE GARCI MENDOZA,otras vacunaciones,antirrabica canina,2007-01-01,2,2
SAMAIPATA,otras vacunaciones,antirrabica canina,2007-01-01,30,30
SAN ANDRES DE MACHACA,otras vacunaciones,antirrabica canina,2007-01-01,102,102
SAN ANTONIO DE ESMORUCO,otras vacunaciones,antirrabica canina,2007-01-01,46,46
SAN ANTONIO DE LOMERIO,otras vacunaciones,antirrabica canina,2007-01-01,30,30
SAN BENITO,otras vacunaciones,antirrabica canina,2007-01-01,17,17
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica canina,2007-01-01,2100,2100
SAN JOAQUIN,otras vacunaciones,antirrabica canina,2007-01-01,550,550
SAN LORENZO(TJA),otras vacunaciones,antirrabica canina,2007-01-01,139,139
SAN LUCAS,otras vacunaciones,antirrabica canina,2007-01-01,64,64
SAN PEDRO DE BUENA VISTA,otras vacunaciones,antirrabica canina,2007-01-01,7,7
SANTA ANA,otras vacunaciones,antirrabica canina,2007-01-01,2175,2175
