municipality,group,variable,month,Vacunaciones antiamarílica en personas a part,TOTAL
ACHACACHI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,89,89
ACHOCALLA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,2,2
AIQUILE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,57,57
ALCALA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,21,21
ANTEQUERA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,11,11
ANZALDO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,14,14
APOLO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,23,23
ARANI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,213,213
ARBIETO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,33,33
ARQUE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,358,358
ATOCHA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,86,86
AYATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,14,14
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,338,338
AZURDUY,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,10,10
BATALLAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,22,22
BAURES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,3,3
BELEN DE URMIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,24,24
BERMEJO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,15,15
BETANZOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,14,14
BOLIVAR,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,43,43
BOYUIBE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,3,3
BUENA VISTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,15,15
CABEZAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,29,29
CAIROMA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,2,2
"CAIZA ""D""",otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,27,27
CALAMARCA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,12,12
CAMARGO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,68,68
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,9,9
CAMIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,33,33
CAPINOTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,26,26
CAQUIAVIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,1,1
CARACOLLO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,63,63
CARANAVI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,321,321
CARANGAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,6,6
CARAPARI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,38,38
CARIPUYO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,19,19
CARMEN RIVERO TORREZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,26,26
CHALLAPATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,37,37
CHAQUI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,8,8
CHAYANTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,5,5
CHIMORE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,876,876
CHOQUE COTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,11,11
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,47,47
CHUMA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,17,17
CLIZA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,55,55
COBIJA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,440,440
COCHABAMBA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,6813,6813
COLCAPIRHUA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,165,165
COLLANA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,1,1
COLOMI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,111,111
COLPA BELGICA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,3,3
COLQUECHACA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,29,29
COLQUIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,21,21
COMARAPA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,44,44
CONCEPCION,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,3,3
CORIPATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,16,16
CORO CORO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,3,3
COROICO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,28,28
COTAGAITA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,9,9
COTOCA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,122,122
CUATRO CAÑADAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,4,4
CUEVO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,4,4
CULPINA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,13,13
CURAHUARA DE CARANGAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,29,29
CURVA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,4,4
DESAGUADERO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,6,6
EL ALTO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,2162,2162
EL TORNO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,155,155
ENTRE RIOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,17,17
ENTRE RIOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,53,53
EUCALIPTUS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,3,3
EXALTACION,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,5,5
FERNANDEZ ALONSO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,15,15
GENERAL SAAVEDRA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,6,6
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,4,4
GUANAY,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,27,27
GUAQUI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,28,28
GUAYARAMERIN,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,100,100
GUTIERREZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,4,4
HUACARETA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,52,52
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,1,1
HUANUNI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,106,106
ICHOCA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,2,2
ICLA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,1,1
INCAHUASI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,114,114
INQUISIVI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,31,31
IRUPANA (VILLA DE LANZA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,20,20
JESUS DE MACHACA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,7,7
LA ASUNTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,606,606
LA GUARDIA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,164,164
LA PAZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,7233,7233
LAGUNILLAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,11,11
LAJA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,25,25
LAS CARRERAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,3,3
LICOMA PAMPA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,2,2
LLALLAGUA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,73,73
LORETO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,3,3
LURIBAY,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,25,25
MACHACAMARCA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,13,13
MACHARETI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,78,78
MAGDALENA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,44,44
MAIRANA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,9,9
MAPIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,20,20
MECAPACA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,4,4
MINEROS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,68,68
MIZQUE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,132,132
MOCOMOCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,10,10
MONTEAGUDO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,80,80
MONTERO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,984,984
MOROCHATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,52,52
OCURI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,16,16
OKINAWA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,181,181
OMEREQUE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,20,20
ORURO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,326,326
PADCAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,5,5
