,group,variable,month,TOTAL HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,TOTAL HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,TOTAL HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTAL HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
EL ALTO,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-01-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-01-01,9,13,31,0,40,13,53
ORURO,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-01-01,11,18,0,0,11,18,29
POTOSI,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-01-01,1,4,0,0,1,4,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-01-01,0,1,1,1,1,2,3
TARIJA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-01-01,1,1,0,0,1,1,2
TINGUIPAYA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-01-01,11,1,0,1,11,2,13
YACUIBA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-01-01,1,0,0,0,1,0,1
BATALLAS,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-02-01,0,0,4,6,4,6,10
CABEZAS,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-02-01,2,3,0,0,2,3,5
EL ALTO,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-02-01,0,0,0,64,0,64,64
HUACARETA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-02-01,1,0,9,10,10,10,20
IRUPANA (VILLA DE LANZA),otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-02-01,0,0,2,1,2,1,3
