,group,variable,month,TOTAL HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,TOTAL HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,TOTAL HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTAL HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ALALAY,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-01-01,0,0,1,0,1,0,1
ALTO BENI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-01-01,0,0,1,0,1,0,1
BERMEJO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-01-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-01-01,0,1,0,0,0,1,1
GENERAL SAAVEDRA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-01-01,0,0,3,0,3,0,3
LA GUARDIA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-01-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-01-01,5,24,0,0,5,24,29
ORURO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-01-01,0,2,0,0,0,2,2
PALCA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-01-01,0,0,1,0,1,0,1
POTOSI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-01-01,2,1,0,0,2,1,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-01-01,1,0,0,0,1,0,1
SORATA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-01-01,0,0,2,0,2,0,2
TARIJA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-01-01,15,3,0,0,15,3,18
