,group,variable,month,TOTAL DT 4TA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 4TA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 4TA. DOSIS DE 10 A 49 AÑOS FUERA,TOTAL DT 4TA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,2,0,2,2
ACHOCALLA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,5,0,0,0,5,5
AIQUILE,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,5,0,0,0,5,5
ALALAY,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,1,0,1,0,1
ALTO BENI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,3,6,0,0,3,6,9
ANCORAIMES,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,4,0,0,0,4,4
ANTEQUERA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
ANZALDO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,2,0,4,4
APOLO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,1,0,3,3
ARAMPAMPA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,1,0,3,3
ARANI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,2,2,0,1,2,3,5
ARBIETO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,2,7,9,7,11,18
ARQUE,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,10,3,2,3,12,15
AYATA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
