,group,variable,month,TOTAL HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,TOTAL HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,TOTAL HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTAL HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ALTO BENI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,0,1,4,6,4,7,11
ATOCHA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,0,2,1,0,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,2,1,0,0,2,1,3
BATALLAS,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,2,6,0,0,2,6,8
BELEN DE URMIRI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,0,0,9,11,9,11,20
BELLA FLOR,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,1,0,0,0,1,0,1
BERMEJO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,0,7,2,4,2,11,13
BOYUIBE,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,2,0,0,0,2,0,2
CAJUATA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,2,2,0,0,2,2,4
CALAMARCA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,1,0,0,0,1,0,1
CAMIRI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,0,1,0,0,0,1,1
CARACOLLO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,1,2,0,0,1,2,3
CHALLAPATA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,6,11,0,0,6,11,17
CHARAGUA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,5,0,0,0,5,0,5
