,group,variable,month,TOTAL INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,TOTAL INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ANDAMARCA,otras vacunaciones,total influenza estacional a personal de salud,2015-01-01,1,2,0,0,1,2,3
ATOCHA,otras vacunaciones,total influenza estacional a personal de salud,2015-01-01,3,5,0,0,3,5,8
BELLA FLOR,otras vacunaciones,total influenza estacional a personal de salud,2015-01-01,5,13,0,0,5,13,18
CAMIRI,otras vacunaciones,total influenza estacional a personal de salud,2015-01-01,4,0,3,0,7,0,7
COBIJA,otras vacunaciones,total influenza estacional a personal de salud,2015-01-01,6,11,0,0,6,11,17
ESMERALDA,otras vacunaciones,total influenza estacional a personal de salud,2015-01-01,1,0,0,1,1,1,2
FILADELFIA,otras vacunaciones,total influenza estacional a personal de salud,2015-01-01,4,5,0,0,4,5,9
LA PAZ,otras vacunaciones,total influenza estacional a personal de salud,2015-01-01,76,84,62,93,138,177,315
MAGDALENA,otras vacunaciones,total influenza estacional a personal de salud,2015-01-01,0,0,8,22,8,22,30
MONTERO,otras vacunaciones,total influenza estacional a personal de salud,2015-01-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,total influenza estacional a personal de salud,2015-01-01,6,28,1,4,7,32,39
PUERTO GONZALO MORENO,otras vacunaciones,total influenza estacional a personal de salud,2015-01-01,0,0,14,7,14,7,21
ROBORE,otras vacunaciones,total influenza estacional a personal de salud,2015-01-01,3,7,1,0,4,7,11
SAN CARLOS,otras vacunaciones,total influenza estacional a personal de salud,2015-01-01,0,1,0,0,0,1,1
SAN IGNACIO,otras vacunaciones,total influenza estacional a personal de salud,2015-01-01,0,0,12,12,12,12,24
SAN JAVIER(BNI),otras vacunaciones,total influenza estacional a personal de salud,2015-01-01,0,1,0,0,0,1,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,total influenza estacional a personal de salud,2015-01-01,3,5,0,0,3,5,8
SAN RAMON BENI,otras vacunaciones,total influenza estacional a personal de salud,2015-01-01,10,16,0,0,10,16,26
