,group,variable,month,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BAURES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-01-01,7,8,0,0,7,8,15
BUENA VISTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-01-01,5,5,0,0,5,5,10
COBIJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-01-01,5,5,16,15,21,20,41
EL ALTO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-01-01,1,0,6,3,7,3,10
FILADELFIA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-01-01,1,0,7,8,8,8,16
HUATAJATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-01-01,1,2,0,0,1,2,3
LA PAZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-01-01,60,102,0,0,60,102,162
MAGDALENA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-01-01,11,5,30,50,41,55,96
MAIRANA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-01-01,2,10,0,0,2,10,12
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-01-01,0,0,0,1,0,1,1
PUERTO GONZALO MORENO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-01-01,0,0,3,3,3,3,6
QUIRUSILLAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-01-01,0,0,2,9,2,9,11
RURRENABAQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-01-01,0,1,0,0,0,1,1
SAN IGNACIO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-01-01,1,2,32,40,33,42,75
