,group,variable,month,TOTAL INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,TOTAL INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,TOTAL INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,TOTAL INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
COBIJA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-01-01,0.0,27.0,0.0,0.0,0.0,27.0,27.0
CORQUE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-01-01,0.0,2.0,0.0,2.0,0.0,4.0,4.0
EL ALTO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-01-01,0.0,7.0,0.0,1.0,0.0,8.0,8.0
EUREKA (SANTOS MERCADO),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-01-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
FILADELFIA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-01-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
GUANAY,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-01-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
LA PAZ,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-01-01,0.0,11.0,0.0,0.0,0.0,11.0,11.0
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-01-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
ORURO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-01-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
PUERTO GONZALO MORENO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-01-01,0.0,0.0,0.0,9.0,0.0,9.0,9.0
ROBORE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RURRENABAQUE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-01-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
SAN CARLOS,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-01-01,0.0,31.0,0.0,0.0,0.0,31.0,31.0
