,group,variable,month,TOTAL HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,TOTAL HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,TOTAL HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,TOTAL HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ALTO BENI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,1,1,0,0,1,1,2
ARAMPAMPA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,1,2,0,0,1,2,3
ATOCHA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,0,1,1,0,1,1,2
BATALLAS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,2,0,0,0,2,0,2
BERMEJO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,0,1,0,0,0,1,1
BOYUIBE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,0,2,0,0,0,2,2
CAMIRI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,1,6,0,0,1,6,7
CHALLAPATA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,5,5,0,0,5,5,10
CHIMORE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,16,9,0,0,16,9,25
CHOQUE COTA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,2,6,0,0,2,6,8
COBIJA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,1,1,0,0,1,1,2
COLQUECHACA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,7,7,0,0,7,7,14
COPACABANA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,0,0,2,2,2,2,4
