,group,variable,month,TOTAL DT 1RA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 1RA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 1RA. DOSIS DE 10 A 49 AÑOS FUERA,TOTAL DT 1RA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,4,0,10,1,14,15
ACHACACHI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,13,58,5,33,18,91,109
ACHOCALLA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,3,21,4,1,7,22,29
AIQUILE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,22,17,2,5,24,22,46
ALALAY,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,1,2,4,3,5,8
ALCALA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
ALTO BENI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,27,17,22,2,49,19,68
ANCORAIMES,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,9,0,1,1,10,11
ANDAMARCA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,1,2,2,2,3,5
ANTEQUERA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
ANZALDO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,3,13,8,19,11,32,43
APOLO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,2,32,10,30,12,62,74
ARAMPAMPA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,8,0,16,0,24,24
ARANI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,19,34,10,27,29,61,90
ARBIETO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,9,16,87,64,96,80,176
ARQUE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
