,group,variable,month,TOTAL DT 2DA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 2DA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 2DA. DOSIS DE 10 A 49 AÑOS FUERA,TOTAL DT 2DA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,1,0,8,1,9,10
ACHACACHI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,9,0,0,1,9,10
ACHOCALLA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,9,5,2,6,11,17
AIQUILE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,7,9,1,0,8,9,17
ALALAY,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,1,0,2,0,3,3
ALTO BENI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,4,10,16,2,20,12,32
ANCORAIMES,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,13,0,0,0,13,13
ANDAMARCA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,2,7,1,6,3,13,16
ANTEQUERA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,1,1,0,1,1,2
ANZALDO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,4,7,17,7,21,28
APOLO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,6,1,3,1,9,10
ARAMPAMPA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,2,0,1,0,3,3
ARANI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,2,6,0,0,2,6,8
ARBIETO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,2,12,20,45,22,57,79
ARQUE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
ASCENCION DE GUARAYOS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,23,1,10,1,33,34
