,group,variable,month,TOTAL HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,TOTAL HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,TOTAL HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTAL HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ALALAY,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,6,6,0,0,6,6,12
ALTO BENI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,3,0,0,0,3,0,3
ATOCHA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,0,0,1,1,1,1,2
BATALLAS,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,0,1,0,0,0,1,1
CAMIRI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,1,0,0,0,1,0,1
CHALLAPATA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,3,11,0,0,3,11,14
CHARAGUA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,0,1,0,0,0,1,1
CHOQUE COTA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,3,2,0,0,3,2,5
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,0,4,0,0,0,4,4
COBIJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,2,2,0,0,2,2,4
COLOMI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,0,2,0,0,0,2,2
COLQUECHACA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,6,11,0,0,6,11,17
COPACABANA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,0,0,2,0,2,0,2
