,group,variable,month,TOTAL DT 3RA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 3RA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 3RA. DOSIS DE 10 A 49 AÑOS FUERA,TOTAL DT 3RA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,0,6,0,6,6
ACHACACHI,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,7,0,1,0,8,8
ACHOCALLA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,4,0,0,0,4,4
AIQUILE,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,4,11,1,1,5,12,17
ALALAY,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,1,0,1,0,1
ALTO BENI,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,2,4,1,0,3,4,7
ANCORAIMES,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,10,0,0,0,10,10
ANDAMARCA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,1,0,1,0,1
ANTEQUERA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,0,2,0,2,2
ANZALDO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,5,0,4,0,9,9
APOLO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,3,0,1,1,4,5
ARAMPAMPA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,2,0,3,3
ARANI,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,3,13,0,4,3,17,20
ARBIETO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,10,13,42,14,52,66
ARQUE,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
ASCENCION DE GUARAYOS,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,34,1,3,1,37,38
