,group,variable,month,TOTAL INFLUENZA ESTACIONAL EN MAYORES DE 65 AÑOS DENTRO,TOTAL INFLUENZA ESTACIONAL EN MAYORES DE 65 AÑOS DENTRO,TOTAL INFLUENZA ESTACIONAL EN MAYORES DE 65 AÑOS FUERA,TOTAL INFLUENZA ESTACIONAL EN MAYORES DE 65 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,4.0,13.0,2.0,1.0,6.0,14.0,20.0
AIQUILE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,0.0,0.0,2.0,4.0,2.0,4.0,6.0
ANCORAIMES,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,9.0,11.0,0.0,0.0,9.0,11.0,20.0
ANDAMARCA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,0.0,0.0,1.0,5.0,1.0,5.0,6.0
ATOCHA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,2.0,1.0,4.0,8.0,6.0,9.0,15.0
"CAIZA ""D""",otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,2.0,3.0,3.0,3.0,5.0,6.0,11.0
CARANAVI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,5.0,3.0,0.0,0.0,5.0,3.0,8.0
CARAPARI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,0.0,0.0,4.0,6.0,4.0,6.0,10.0
CHUA COCANI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,2.0,8.0,0.0,0.0,2.0,8.0,10.0
COBIJA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,3.0,4.0,0.0,1.0,3.0,5.0,8.0
COPACABANA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,0.0,0.0,15.0,11.0,15.0,11.0,26.0
EL ALTO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,2.0,4.0,2.0,0.0,4.0,4.0,8.0
ESCARA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,0.0,0.0,5.0,7.0,5.0,7.0,12.0
