,group,variable,month,TOTAL DT 5TA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 5TA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 5TA. DOSIS DE 10 A 49 AÑOS FUERA,TOTAL DT 5TA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHOCALLA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,1,1,1,2,3
AIQUILE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
ALALAY,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,2,0,2,2
ALTO BENI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
ANDAMARCA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,1,0,0,1,1,2
APOLO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
ARAMPAMPA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,1,0,3,3
ARANI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,3,0,3,3
ARBIETO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,3,5,3,6,9
ASCENCION DE GUARAYOS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,12,0,1,0,13,13
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,3,0,4,4
BATALLAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
BELLA FLOR,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
BERMEJO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
BOLIVAR,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
