,group,variable,month,N° DE TBP BAAR (-) NUEVOS CANTIDAD,N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,1,0,1
AUCAPATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,1,0,1
CABEZAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,1,0,1
CAMIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,0,2,2
CAPINOTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,0,2,2
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,1,2,3
CORIPATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,8,2,10
HUARINA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,2,0,2
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,13,7,20
LURIBAY,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,1,0,1
MAIRANA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,0,1,1
MAPIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,1,1,2
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,1,1,2
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,1,2,3
PAMPA AULLAGAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,1,0,1
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,1,0,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,0,1,1
ROBORE,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,3,3,6
SAN BORJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,11,5,16
SANTA ROSA DEL SARA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,1,0,1
SIPE SIPE,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,1,0,1
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,0,1,1
TOMINA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,0,1,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,1,2,3
UNCIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-01-01,1,1,2
ALTO BENI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,1,0,1
CAMIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,5,4,9
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,2,2,4
EL TORNO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,1,2,3
GUANAY,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,0,1,1
GUTIERREZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,2,0,2
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,12,3,15
LURIBAY,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,0,1,1
MAPIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,0,1,1
