,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA LLL CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA LLL CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-01-01,3,1,4
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-01-01,0,2,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-01-01,2,0,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-01-01,1,1,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-01-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-01-01,3,1,4
MAIRANA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-01-01,0,1,1
PUERTO RICO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-01-01,3,4,7
URUBICHA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-02-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-02-01,0,2,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-02-01,0,1,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-02-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-02-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-02-01,1,9,10
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-02-01,1,1,2
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-03-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-03-01,1,1,2
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-03-01,1,0,1
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-03-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-03-01,1,2,3
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-03-01,1,1,2
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-03-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-03-01,1,1,2
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-03-01,0,2,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-03-01,2,1,3
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-03-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-03-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-04-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-04-01,2,0,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-04-01,1,0,1
EL PUENTE(STC),tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-04-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-04-01,0,3,3
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-04-01,1,2,3
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-04-01,1,0,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-04-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-05-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-05-01,2,2,4
