,group,variable,month,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,1,3,4
ACHACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,6,7,13
ACHOCALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,5,4,9
AIQUILE,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,5,3,8
ALCALA,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,2,4,6
ALTO BENI,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,5,5,10
ANCORAIMES,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,1,4,5
ANDAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,1,1,2
ANZALDO,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,0,1,1
APOLO,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,2,2,4
ARAMPAMPA,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,0,1,1
ARANI,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,2,1,3
ARBIETO,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,2,0,2
ARQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,2,1,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,15,6,21
ATOCHA,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,1,0,1
AUCAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,1,1,2
AYATA,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,6,3,9
AZURDUY,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,4,4,8
BATALLAS,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,7,0,7
BELEN DE ANDAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,1,2,3
BELEN DE URMIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,1,1,2
BERMEJO,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,26,25,51
BETANZOS,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,3,7,10
BOYUIBE,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,0,1,1
BUENA VISTA,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,10,11,21
CABEZAS,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,10,5,15
"CAIZA ""D""",tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,2,2,4
CAJUATA,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,3,3,6
CALACOTO,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,1,0,1
CALAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,1,0,1
CAMARGO,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,0,5,5
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,3,0,3
CAMIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,17,19,36
CAPINOTA,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,5,10,15
CAQUIAVIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,2,0,2
CARACOLLO,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,7,6,13
CARANAVI,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,59,43,102
CARAPARI,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,12,7,19
CARIPUYO,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,0,1,1
CARMEN RIVERO TORREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,1,0,1
CHALLAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,7,5,12
CHAQUI,tuberculosis y lepra,n de sintomaticos respiratorios,2013-01-01,0,2,2
