,group,variable,month,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ARANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,0,1
AUCAPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,0,1,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,3,1,4
BUENA VISTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,0,1,1
CAMIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,2,1,3
CAPINOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,0,1,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,2,4,6
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,7,1,8
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,2,1,3
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,0,3,3
COCAPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,10,4,14
CORIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,1,2
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,0,1,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,3,1,4
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,0,1,1
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,8,12,20
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,4,1,5
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,5,1,6
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,3,4
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,0,2,2
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,4,1,5
LAGUNILLAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,0,1
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,2,0,2
MAPIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,2,0,2
MECAPACA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,0,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,7,3,10
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,0,1
PAILON,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,0,1,1
POROMA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,1,2
PRESTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,0,1
PUERTO CARABUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,3,2,5
PUNATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,2,3
