,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR (P.Q.T.) CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR (P.Q.T.) CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-01-01,1,4,5
SANTA ROSA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-01-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-02-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-02-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-02-01,2,2,4
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-02-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-03-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-03-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-03-01,3,1,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-03-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-04-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-04-01,4,2,6
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-04-01,2,0,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-05-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-05-01,2,2,4
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-06-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-06-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-06-01,2,0,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-07-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-07-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-07-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-08-01,1,1,2
REYES,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-08-01,6,0,6
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-09-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-09-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-09-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-09-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-10-01,3,0,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-10-01,3,0,3
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-11-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-11-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-11-01,2,1,3
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-12-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2013-12-01,1,0,1
