,group,variable,month,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,2,0,2
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,18,10,28
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,0,1,1
CORIPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,1,1,2
COTOCA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,9,7,16
EL TORNO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,2,1,3
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,1,0,1
GUANAY,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,2,0,2
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,39,16,55
LLALLAGUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,1,1,2
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,2,2,4
OKINAWA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,1,1,2
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,4,1,5
PALOS BLANCOS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,1,1,2
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,4,0,4
PUERTO QUIJARRO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,3,1,4
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,20,3,23
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,9,5,14
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,1,0,1
TEOPONTE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,1,0,1
TOTORA(ORR),tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,0,1,1
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,2,2,4
VILLA TUNARI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,2,0,2
WARNES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,2,1,3
YACUIBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-01-01,1,0,1
ACHACACHI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-02-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-02-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-02-01,1,0,1
CAMIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-02-01,1,0,1
CAPINOTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-02-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-02-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb extrapulmonar nuevos,2013-02-01,1,0,1
