,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,4,0,4
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,1,1
APOLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
ARQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,2,0,2
AUCAPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,1,2
BATALLAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,3,2,5
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,1,2
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,2,0,2
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,3,3,6
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,5,6,11
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,3,0,3
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,2,0,2
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,4,1,5
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,3,5,8
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,18,17,35
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,2,2
COLPA BELGICA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,1,1
COMARAPA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,1,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,3,1,4
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,1,1
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,2,3
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,2,2
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,43,28,71
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,2,3,5
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,6,0,6
EUREKA (SANTOS MERCADO),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,1,1
FILADELFIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,1,1
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,1,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,3,0,3
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,3,0,3
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
HUARINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,2,0,2
IXIAMAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,2,0,2
JESUS DE MACHACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,3,5,8
