,group,variable,month,N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ALTO BENI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,0,1,1
ANZALDO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,1,0,1
BERMEJO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,1,1,2
BUENA VISTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,0,1,1
CAJUATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,1,0,1
CAMIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,4,0,4
CAPINOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,1,0,1
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,2,2,4
CARAPARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,1,2,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,3,1,4
COCAPATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,5,3,8
COLCAPIRHUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,0,1,1
COLPA BELGICA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,1,0,1
CORIPATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,0,1,1
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,6,10,16
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,1,1,2
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,2,1,3
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,2,0,2
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,1,7,8
MAPIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,0,1,1
MIZQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,0,1,1
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,2,1,3
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,1,1,2
PADCAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,1,1,2
PAILON,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,0,3,3
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,1,1,2
PAMPA GRANDE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,0,2,2
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,1,1,2
PUCARANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,1,2,3
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,6,5,11
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,2,2,4
SAN BORJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,0,3,3
SAN JULIAN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,1,0,1
SAN PEDRO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,18,27,45
