,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR (P.Q.T.) CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR (P.Q.T.) CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-01-01,7,1,8
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-01-01,4,0,4
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-02-01,3,1,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-02-01,1,2,3
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-03-01,4,1,5
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-03-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-04-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-04-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-05-01,2,0,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-06-01,1,1,2
LLICA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-06-01,0,50,50
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-06-01,3,1,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-06-01,4,2,6
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-07-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-07-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-08-01,2,1,3
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-08-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-08-01,3,1,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-08-01,2,2,4
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-09-01,7,2,9
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-09-01,4,0,4
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-10-01,3,0,3
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-10-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-11-01,1,1,2
SANTA ROSA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-11-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2013-12-01,1,0,1
