,group,variable,month,N° DE TBP BAAR (+) NUEVOS CANTIDAD,N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,3,0,3
AIQUILE,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
ALTO BENI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,1,1
APOLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
ARQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
AUCAPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,1,1
BATALLAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,2,3
BUENA VISTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,1,2
CABEZAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
CAMIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,3,1,4
CAPINOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,1,1
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,3,4,7
CARAPARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,3,0,3
CHARAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,2,0,2
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,1,2
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,3,5,8
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,19,14,33
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,1,1
COLPA BELGICA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,1,1
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,2,1,3
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,1,1
COTAGAITA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,1,2
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,2,3
CULPINA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,28,20,48
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,2,2
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,5,0,5
FILADELFIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,1,1
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,1,1
GUANAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,3,0,3
HUANUNI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
IXIAMAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,2,0,2
JESUS DE MACHACA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,3,5,8
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,5,3,8
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,35,21,56
LICOMA PAMPA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,1,1
LLALLAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
MAPIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,2,0,2
