,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,1,0,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,1,0,1
CHUA COCANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,2,0,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,1,1,2
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,5,2,7
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,2,1,3
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,1,0,1
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,1,0,1
SACABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,11,5,16
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,4,1,5
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,2,0,2
VITICHI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-01-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-02-01,0,1,1
CKOCHAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-02-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-02-01,2,1,3
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-02-01,1,0,1
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-02-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-02-01,5,1,6
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-02-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-02-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-02-01,2,1,3
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-02-01,3,3,6
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-02-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-02-01,1,0,1
SAN JOAQUIN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-02-01,0,1,1
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-02-01,5,9,14
