municipality,group,variable,month,Cirugías medianas y mayores,TOTAL
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,3,3
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,12,12
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,11,11
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,cirugias medianas y mayores,2007-01-01,4,4
AZURDUY,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,1,1
BAURES,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,4,4
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,20,20
BETANZOS,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,2,2
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,50,50
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,42,42
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,40,40
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,3,3
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,5,5
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2007-01-01,4,4
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,350,350
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,2590,2590
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,1,1
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,7,7
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,8,8
COPACABANA,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,4,4
COROICO,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,11,11
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,15,15
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,840,840
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,11,11
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,51,51
HUANUNI,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,15,15
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2007-01-01,3121,3121
