municipality,group,variable,month,"Anestesias generales, locales o regionales",TOTAL
ACHACACHI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,3,3
AIQUILE,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,12,12
ANCORAIMES,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,8,8
APOLO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,9,9
ASCENCION DE GUARAYOS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,11,11
ATOCHA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,18,18
AZURDUY,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,3,3
BAURES,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,5,5
BERMEJO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,47,47
BETANZOS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,15,15
CAJUATA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,17,17
CAMARGO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,50,50
CAMIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,44,44
CARANAVI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,47,47
CHALLAPATA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,6,6
CHARAGUA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,5,5
CHIMORE,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,38,38
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,42,42
CLIZA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,7,7
COBIJA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,506,506
COCHABAMBA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,2954,2954
COLCAPIRHUA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,1,1
COLOMI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,4,4
COLQUIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,4,4
COMARAPA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,7,7
CONCEPCION,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,8,8
COPACABANA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,13,13
COROICO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,14,14
COTOCA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,15,15
DESAGUADERO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,5,5
EL ALTO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,1372,1372
EL TORNO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,11,11
ENTRE RIOS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,34,34
EUCALIPTUS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,5,5
FILADELFIA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,2,2
GUAYARAMERIN,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,51,51
HUACARETA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,6,6
HUANUNI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,15,15
INQUISIVI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,2,2
IRUPANA (VILLA DE LANZA),cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,16,16
LA ASUNTA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,43,43
LA PAZ,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,3542,3542
LLALLAGUA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,73,73
MACHARETI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,4,4
MAGDALENA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,8,8
MAIRANA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,14,14
MIZQUE,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,9,9
MOCOMOCO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,1,1
MONTEAGUDO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,70,70
MONTERO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,148,148
OCURI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,4,4
ORURO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,649,649
PADILLA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,23,23
PALOS BLANCOS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,3,3
PATACAMAYA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,30,30
PORTACHUELO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,62,62
PORVENIR,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,23,23
POTOSI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,413,413
PRESTO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,1,1
PUERTO ACOSTA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,31,31
PUERTO CARABUCO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,2,2
PUERTO QUIJARRO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,3,3
PUERTO RICO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,46,46
PUERTO SUAREZ,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,72,72
PUERTO VILLARROEL,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,48,48
PUNATA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,64,64
QUILLACOLLO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,98,98
REYES,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,7,7
RIBERALTA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,213,213
ROBORE,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,7,7
RURRENABAQUE,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,9,9
SACABA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,42,42
SAMAIPATA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,3,3
SAN ANDRES,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,3,3
SAN BORJA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,20,20
SAN BUENA VENTURA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,19,19
SAN CARLOS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,22,22
SAN IGNACIO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,8,8
SAN IGNACIO DE VELASCO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,99,99
SAN JAVIER(STC),cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,10,10
SAN JOAQUIN,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,6,6
SAN JOSE DE CHIQUITOS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,5,5
SAN JUAN DE YAPACANI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,40,40
SAN JULIAN,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,40,40
SAN LORENZO(PND),cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,2,2
SAN LUCAS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,5,5
SAN MATIAS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,5,5
SAN PEDRO DE TIQUINA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,1,1
SAN RAMON,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,6,6
SAN RAMON,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,7,7
SANTA ANA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,21,21
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,2785,2785
SANTA ROSA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,5,5
SIPE SIPE,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,16,16
SOPACHUY,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,1,1
SUCRE,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,1288,1288
TAPACARI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,2,2
TARABUCO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,5,5
TARIJA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,729,729
TARVITA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,2,2
TIQUIPAYA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,2,2
