municipality,group,variable,month,Pacientes referidos a otros establecimientos,TOTAL
ACACIO,referencias,pacientes referidos a otros establecimientos,2007-01-01,1,1
ACHACACHI,referencias,pacientes referidos a otros establecimientos,2007-01-01,31,31
ACHOCALLA,referencias,pacientes referidos a otros establecimientos,2007-01-01,1,1
AIQUILE,referencias,pacientes referidos a otros establecimientos,2007-01-01,63,63
ALALAY,referencias,pacientes referidos a otros establecimientos,2007-01-01,1,1
ALCALA,referencias,pacientes referidos a otros establecimientos,2007-01-01,3,3
ANCORAIMES,referencias,pacientes referidos a otros establecimientos,2007-01-01,6,6
ANTEQUERA,referencias,pacientes referidos a otros establecimientos,2007-01-01,8,8
APOLO,referencias,pacientes referidos a otros establecimientos,2007-01-01,4,4
ARANI,referencias,pacientes referidos a otros establecimientos,2007-01-01,8,8
ARQUE,referencias,pacientes referidos a otros establecimientos,2007-01-01,1,1
ASCENCION DE GUARAYOS,referencias,pacientes referidos a otros establecimientos,2007-01-01,8,8
ATOCHA,referencias,pacientes referidos a otros establecimientos,2007-01-01,70,70
AYATA,referencias,pacientes referidos a otros establecimientos,2007-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),referencias,pacientes referidos a otros establecimientos,2007-01-01,13,13
AZURDUY,referencias,pacientes referidos a otros establecimientos,2007-01-01,2,2
BATALLAS,referencias,pacientes referidos a otros establecimientos,2007-01-01,20,20
BAURES,referencias,pacientes referidos a otros establecimientos,2007-01-01,3,3
BELLA FLOR,referencias,pacientes referidos a otros establecimientos,2007-01-01,2,2
BERMEJO,referencias,pacientes referidos a otros establecimientos,2007-01-01,61,61
BETANZOS,referencias,pacientes referidos a otros establecimientos,2007-01-01,15,15
BOLIVAR,referencias,pacientes referidos a otros establecimientos,2007-01-01,7,7
BOYUIBE,referencias,pacientes referidos a otros establecimientos,2007-01-01,9,9
BUENA VISTA,referencias,pacientes referidos a otros establecimientos,2007-01-01,5,5
CABEZAS,referencias,pacientes referidos a otros establecimientos,2007-01-01,13,13
CAIROMA,referencias,pacientes referidos a otros establecimientos,2007-01-01,1,1
"CAIZA ""D""",referencias,pacientes referidos a otros establecimientos,2007-01-01,1,1
CAJUATA,referencias,pacientes referidos a otros establecimientos,2007-01-01,1,1
CALAMARCA,referencias,pacientes referidos a otros establecimientos,2007-01-01,25,25
CAMARGO,referencias,pacientes referidos a otros establecimientos,2007-01-01,19,19
