municipality,group,variable,month,Nacidos vivos con peso menor a 2500g,TOTAL
AIQUILE,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,2,2
APOLO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,1,1
BERMEJO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,2,2
BETANZOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,2,2
CABEZAS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,2,2
CAMIRI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,5,5
CAPINOTA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,1,1
CARANAVI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,2,2
CARAPARI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,1,1
CARIPUYO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,1,1
CHARAGUA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,3,3
CHAYANTA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,1,1
CLIZA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,1,1
COBIJA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,5,5
COCHABAMBA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,75,75
COMARAPA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,1,1
CORQUE,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,1,1
COTAGAITA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,2,2
COTOCA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,3,3
CUATRO CAÑADAS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,1,1
EL ALTO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,60,60
EL PUENTE(TJA),atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,1,1
ENTRE RIOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,1,1
GUANAY,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,2,2
GUAYARAMERIN,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,2,2
HUACARETA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,1,1
HUARACAJE,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,1,1
LA PAZ,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,108,108
LAS CARRERAS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,1,1
LLALLAGUA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,1,1
MAGDALENA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,1,1
MOJOCOYA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2006-01-01,1,1
