,group,variable,month,TOTAL 23.1 N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTAL 23.1 N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,3,2,5
ACHACACHI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,18,13,31
ACHOCALLA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,1,1
AIQUILE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,2,6
ALCALA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,1,1
ALTO BENI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,5,9
ANCORAIMES,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,3,2,5
ANDAMARCA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,0,1
ANTEQUERA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,1,1
ANZALDO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,2,6
APOLO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,3,7
ARAMPAMPA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,2,2
ARANI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,1,3
ARBIETO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,0,2
ARQUE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,1,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,8,8,16
ATOCHA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,3,1,4
AUCAPATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,3,3,6
AYATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,3,5
AZURDUY,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,5,3,8
BATALLAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,5,2,7
BERMEJO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,13,18,31
BETANZOS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,1,3
BOLIVAR,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,1,1
BOYUIBE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,1,2
BUENA VISTA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,9,10,19
CABEZAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,12,11,23
CAIROMA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,3,3,6
CAJUATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,1,2
CALAMARCA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,3,2,5
CAMARGO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,7,8,15
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,1,2
CAMIRI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,6,5,11
CAPINOTA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,10,7,17
CAQUIAVIRI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,0,2
CARACOLLO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,2,4
CARANAVI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,43,37,80
CARAPARI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,6,7
CARIPUYO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,3,5
CHALLAPATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,2,6
CHAQUI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,2,4
