,group,variable,month,TOTAL 23.7 TRATAMIENTOS INICIADOS CON ESQUEMA LLL CANTIDAD,TOTAL 23.7 TRATAMIENTOS INICIADOS CON ESQUEMA LLL CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CABEZAS,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-01-01,1,2,3
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-01-01,1,1,2
LLALLAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-01-01,2,3,5
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-01-01,0,1,1
TRINIDAD,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-01-01,1,0,1
YACUIBA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-01-01,1,0,1
COBIJA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-02-01,1,0,1
LA ASUNTA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-02-01,0,1,1
ORURO,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-02-01,1,0,1
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-02-01,5,0,5
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-03-01,1,0,1
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-03-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-03-01,0,1,1
SAN LUCAS,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-03-01,2,1,3
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-04-01,1,1,2
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-04-01,1,0,1
PRESTO,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-04-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-04-01,1,4,5
TARIJA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-04-01,0,1,1
YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-04-01,1,0,1
CAMIRI,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-05-01,0,1,1
LA GUARDIA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-05-01,0,1,1
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-05-01,1,1,2
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-05-01,3,1,4
PUERTO VILLARROEL,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-05-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-05-01,2,1,3
SIPE SIPE,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-05-01,0,1,1
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-06-01,2,1,3
CUATRO CAÑADAS,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-06-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-06-01,0,1,1
