,group,variable,month,TOTAL 23.4 N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTAL 23.4 N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CABEZAS,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,0,2,2
CAMIRI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,1,0,1
CAPINOTA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,1,0,1
CARANAVI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,0,1,1
CHALLAPATA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,0,1,1
CHARAGUA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,6,8,14
COLCAPIRHUA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,1,1,2
COMARAPA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,0,1,1
COROICO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,1,1,2
EL ALTO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,12,7,19
ENTRE RIOS CBBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,1,0,1
LA PAZ,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,12,6,18
LLALLAGUA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,0,1,1
MONTERO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,1,0,1
ORURO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,2,2,4
PATACAMAYA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,0,1,1
POTOSI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,2,1,3
PUERTO CARABUCO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,1,0,1
PUNATA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,2,0,2
QUIRUSILLAS,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,0,1,1
SACABA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,0,1,1
SAN JULIAN,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,2,0,2
SAN PEDRO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,29,10,39
SICA SICA (VILLA AROMA),tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,1,0,1
SUCRE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,5,3,8
TACACOMA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,1,0,1
TARIJA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,3,3,6
TORO TORO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,1,0,1
UYUNI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,1,0,1
VILLA MONTES,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,1,0,1
WARNES,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,0,1,1
YACUIBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-01-01,1,1,2
ACHACACHI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,0,1,1
ARBIETO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,0,1,1
