,group,variable,month,TOTAL 23.3 N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTAL 23.3 N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
BATALLAS,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,1,0,1
BERMEJO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,1,1,2
CLIZA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,1,11,12
CORIPATA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,1,0,1
CUEVO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,0,3,3
CURAHUARA DE CARANGAS,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,1,0,1
EL ALTO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,5,2,7
LA PAZ,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,1,1,2
LLALLAGUA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,0,1,1
MECAPACA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,1,0,1
ORURO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,1,0,1
PELECHUCO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,1,0,1
PORCO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,6,0,6
POTOSI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,4,0,4
PUERTO QUIJARRO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,1,1,2
RIBERALTA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,1,0,1
SACABA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,1,0,1
SAN BORJA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,1,0,1
SAN JAVIER(BNI),tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,5,2,7
SUCRE,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,1,1,2
VILLA MONTES,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,1,0,1
YACUIBA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,2,2,4
YANACACHI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,1,0,1
YAPACANI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-01-01,1,0,1
ACHACACHI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-02-01,1,0,1
BERMEJO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-02-01,3,3,6
CARANAVI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-02-01,8,12,20
GUAYARAMERIN,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-02-01,1,0,1
LA PAZ,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-02-01,1,0,1
LAGUNILLAS,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-02-01,1,0,1
LURIBAY,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-02-01,1,0,1
PORCO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-02-01,0,2,2
POTOSI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-02-01,2,2,4
PUCARANI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-02-01,1,0,1
RIBERALTA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-02-01,8,3,11
SOPACHUY,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-02-01,0,1,1
SUCRE,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-02-01,0,1,1
