,group,variable,month,TOTAL 2311 TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR (P.Q.T.) CANTIDAD,TOTAL 2311 TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR (P.Q.T.) CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
COCAPATA,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-01-01,0,1,1
EL TORNO,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-01-01,2,2,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-01-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-02-01,1,1,2
EL TORNO,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-03-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-03-01,2,1,3
EL TORNO,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-04-01,4,2,6
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-04-01,5393,0,5393
EL TORNO,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-05-01,2,1,3
POROMA,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-05-01,0,1,1
EL TORNO,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-06-01,1,0,1
COCAPATA,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-07-01,0,2,2
EL TORNO,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-07-01,1,2,3
SANTA ROSA,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-07-01,1,0,1
EL TORNO,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-08-01,1,2,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-08-01,4,3,7
TARIJA,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-08-01,1,0,1
YACUIBA,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-09-01,0,16,16
AIQUILE,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-10-01,2,0,2
EL TORNO,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-10-01,6,0,6
EL TORNO,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-11-01,1,1,2
EL TORNO,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-12-01,3,0,3
MONTEAGUDO,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-12-01,0,1,1
SANTA ROSA,tuberculosis y lepra,      tratamientos iniciados con esquema multibacilar (p.q.t.),2014-12-01,1,0,1
