,group,variable,month,TOTAL 23.6 TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TOTAL 23.6 TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
BERMEJO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,1,0,1
CABEZAS,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,0,1,1
CAJUATA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,1,0,1
CAPINOTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,1,0,1
CARANAVI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,2,0,2
CHIMORE,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,1,0,1
COBIJA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,0,1,1
"COLCHA ""K""",tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,1,0,1
COLQUECHACA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,0,2,2
CORIPATA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,0,1,1
COROICO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,1,0,1
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,3,1,4
LA ASUNTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,1,0,1
LA GUARDIA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,0,1,1
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,5,1,6
LLALLAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,1,0,1
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,1,0,1
ORURO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,1,0,1
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,1,1,2
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,1,0,1
SAN CARLOS,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,14,10,24
SIPE SIPE,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,1,0,1
SORATA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,0,1,1
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,2,1,3
VILLAZON,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,0,1,1
YACUIBA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,1,0,1
YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-01-01,0,1,1
CABEZAS,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,1,0,1
CAJUATA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,1,0,1
CAMARGO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,0,1,1
CARANAVI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,1,1,2
CHAYANTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,1,1,2
CHIMORE,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,0,1,1
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,4,1,5
LA ASUNTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,1,0,1
