,group,variable,month,TOTAL 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTAL 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,1,2
ACHOCALLA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
ALTO BENI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,1,2
APOLO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,0,1,1
AUCAPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,0,1,1
AZURDUY,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
BATALLAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
BERMEJO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,2,2,4
BUENA VISTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
CABEZAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,1,2
"CAIZA ""D""",tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
CALAMARCA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
CAMARGO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,1,2
CAMIRI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,2,1,3
CAPINOTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,1,2
CARANAVI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,2,5,7
CARIPUYO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,0,1,1
CHALLAPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,0,1,1
CHARAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,3,0,3
CHAYANTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
CHIMORE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,1,2
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
CLIZA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,2,2,4
COBIJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,2,1,3
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,24,13,37
COLCAPIRHUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,2,3
COLLANA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,0,1,1
CONCEPCION,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,0,1,1
CORIPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,2,0,2
COROICO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,3,1,4
COTAGAITA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,1,2
COTOCA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,3,0,3
CUATRO CAÑADAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,2,0,2
CUEVO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,0,1,1
CULPINA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
CURAHUARA DE CARANGAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,38,24,62
EL CHORO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
EL TORNO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,0,4,4
ENTRE RIOS CBBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,2,4,6
FERNANDEZ ALONSO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
