,group,variable,month,TOTAL 23.8 N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTAL 23.8 N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ALTO BENI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,0,1,1
AUCAPATA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,1,0,1
BERMEJO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,0,1,1
BUENA VISTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,1,0,1
CABEZAS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,0,1,1
CAMIRI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,1,2,3
CAPINOTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,0,2,2
CARANAVI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,2,1,3
CHIMORE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,1,0,1
CLIZA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,1,0,1
COBIJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,5,4,9
COLQUECHACA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,1,0,1
CORIPATA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,1,0,1
EL ALTO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,6,5,11
EL TORNO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,1,2,3
ENTRE RIOS CBBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,0,2,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,0,2,2
LA ASUNTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,1,0,1
LA GUARDIA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,0,1,1
LA PAZ,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,5,0,5
LLALLAGUA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,2,0,2
MONTERO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,7,3,10
ORURO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,3,0,3
POTOSI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,1,3,4
PUNA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,0,2,2
QUILLACOLLO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,1,1,2
RURRENABAQUE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,1,2,3
SAN LORENZO(TJA),tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,2,0,2
SAN PEDRO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,0,1,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,19,17,36
SIPE SIPE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,1,0,1
