,group,variable,month,TOTAL 23.2 N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTAL 23.2 N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,1,2
ACHOCALLA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
ALTO BENI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,1,2
APOLO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,0,1,1
AUCAPATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,0,1,1
AZURDUY,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
BERMEJO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,3,2,5
BUENA VISTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
CABEZAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
CALAMARCA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
CAMARGO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,1,2
CAMIRI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,2,1,3
CAPINOTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,1,2
CARANAVI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,2,4,6
CARIPUYO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,0,1,1
CHARAGUA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
CHIMORE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
CLIZA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,2,3
COBIJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,2,1,3
COCHABAMBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,18,10,28
COLCAPIRHUA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,0,2,2
COLLANA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,0,1,1
CONCEPCION,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,0,1,1
CORIPATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
COROICO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,2,0,2
COTAGAITA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,0,1,1
COTOCA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,3,0,3
CUATRO CAÑADAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
CUEVO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,0,1,1
CULPINA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
EL ALTO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,24,13,37
EL CHORO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
EL PUENTE(TJA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
EL TORNO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,0,4,4
ENTRE RIOS CBBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,4,5
FERNANDEZ ALONSO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
GUANAY,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,2,0,2
HUANUNI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
INCAHUASI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
