,group,variable,month,TOTAL 23.9 Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTAL 23.9 Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,3,0,3
BERMEJO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,2,1,3
BETANZOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,0,1
CAPINOTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,0,1,1
CARANAVI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,4,4,8
COBIJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,9,6,15
COLCAPIRHUA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,0,1,1
COROICO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,0,1,1
COTOCA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,0,3,3
CULPINA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,0,1,1
EL ALTO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,15,13,28
EL TORNO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,4,1,5
GUANAY,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,3,0,3
GUAYARAMERIN,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,4,0,4
HUANUNI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,1,2
LA GUARDIA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,5,1,6
LA PAZ,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,8,9,17
LLALLAGUA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,2,0,2
MAPIRI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,0,1
MINEROS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,0,1
MONTERO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,6,3,9
OKINAWA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,0,1,1
ORURO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,2,3
PALOS BLANCOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,0,1
PAMPA GRANDE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,0,1
POTOSI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,2,3,5
PUNA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,0,2,2
QUILLACOLLO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,2,4,6
QUIME,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,0,1
RIBERALTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,3,3,6
RURRENABAQUE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,0,1
SACABA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,3,4
SAMAIPATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,0,1
SAN BORJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,2,0,2
SAN CARLOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,1,2
