,group,variable,month,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA EMB,CONSULTA REPETIDA EMB,CONSULTA REPETIDA POST,CONSULTA REPETIDA POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
ACHACACHI,atencion odontologica,consulta repetida,2015-01-01,10,28,8,6,3,8,15,27,2,7,0,0,0,0,38,76,114
ACHOCALLA,atencion odontologica,consulta repetida,2015-01-01,2,2,2,1,4,4,5,1,0,0,0,0,0,0,13,8,21
AIQUILE,atencion odontologica,consulta repetida,2015-01-01,14,19,19,17,1,6,11,20,22,5,0,2,0,0,67,69,136
ANCORAIMES,atencion odontologica,consulta repetida,2015-01-01,0,1,0,0,1,0,2,1,1,4,0,0,0,0,4,6,10
ANDAMARCA,atencion odontologica,consulta repetida,2015-01-01,2,0,1,4,0,1,2,4,1,0,0,1,0,0,6,10,16
ANTEQUERA,atencion odontologica,consulta repetida,2015-01-01,2,2,1,2,0,0,10,2,2,0,0,1,0,1,15,8,23
ANZALDO,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,0,2,3,0,0,0,0,0,3,2,6,8
APOLO,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,0,2,1,0,0,0,1,0,0,2,2,4
ARANI,atencion odontologica,consulta repetida,2015-01-01,1,14,0,2,0,1,1,5,0,0,0,0,0,2,2,24,26
ARBIETO,atencion odontologica,consulta repetida,2015-01-01,0,0,1,0,0,0,0,3,3,2,0,0,0,0,4,5,9
ASCENCION DE GUARAYOS,atencion odontologica,consulta repetida,2015-01-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2
ATOCHA,atencion odontologica,consulta repetida,2015-01-01,18,12,47,61,38,106,96,134,23,15,0,5,0,0,222,333,555
AYATA,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,6,6
AYO AYO,atencion odontologica,consulta repetida,2015-01-01,1,0,3,0,0,7,0,7,0,0,0,0,0,0,4,14,18
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consulta repetida,2015-01-01,12,22,29,35,10,46,39,58,9,6,0,0,0,2,99,169,268
AZURDUY,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,6,4,3,3,0,0,0,0,0,1,9,8,17
BAURES,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,1,3
BELEN DE URMIRI,atencion odontologica,consulta repetida,2015-01-01,0,0,0,1,0,0,0,2,1,1,0,0,0,0,1,4,5
BERMEJO,atencion odontologica,consulta repetida,2015-01-01,8,1,40,7,21,36,33,26,28,1,0,11,0,0,130,82,212
BETANZOS,atencion odontologica,consulta repetida,2015-01-01,2,3,10,10,8,24,11,40,2,1,0,4,0,3,33,85,118
BUENA VISTA,atencion odontologica,consulta repetida,2015-01-01,7,7,2,1,20,11,0,11,3,4,0,0,0,0,32,34,66
CABEZAS,atencion odontologica,consulta repetida,2015-01-01,18,7,1,1,1,3,11,19,0,0,0,3,0,2,31,35,66
CAIROMA,atencion odontologica,consulta repetida,2015-01-01,0,0,1,2,0,0,1,3,0,0,0,0,0,1,2,6,8
"CAIZA ""D""",atencion odontologica,consulta repetida,2015-01-01,0,1,3,4,0,1,4,15,2,0,0,2,0,5,9,28,37
CALAMARCA,atencion odontologica,consulta repetida,2015-01-01,1,1,1,5,5,6,4,10,0,3,0,0,0,3,11,28,39
CAMARGO,atencion odontologica,consulta repetida,2015-01-01,5,11,6,9,0,16,5,33,0,0,0,2,0,14,16,85,101
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consulta repetida,2015-01-01,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2,2,4
CAMIRI,atencion odontologica,consulta repetida,2015-01-01,3,10,21,19,5,5,40,36,0,4,0,4,0,0,69,78,147
CAPINOTA,atencion odontologica,consulta repetida,2015-01-01,35,25,96,57,28,40,45,69,6,9,0,7,0,3,210,210,420
CAQUIAVIRI,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,1,3,0,5,0,0,0,0,0,0,1,8,9
CARACOLLO,atencion odontologica,consulta repetida,2015-01-01,40,7,35,64,15,49,23,97,9,11,0,1,0,16,122,245,367
CARANAVI,atencion odontologica,consulta repetida,2015-01-01,20,11,10,12,10,11,15,18,9,5,0,2,0,4,64,63,127
CARAPARI,atencion odontologica,consulta repetida,2015-01-01,0,0,1,4,2,12,5,6,0,1,0,0,0,0,8,23,31
CARIPUYO,atencion odontologica,consulta repetida,2015-01-01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
CHALLAPATA,atencion odontologica,consulta repetida,2015-01-01,2,15,4,8,6,13,11,31,3,10,0,6,0,6,26,89,115
CHAQUI,atencion odontologica,consulta repetida,2015-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
CHARAGUA,atencion odontologica,consulta repetida,2015-01-01,5,0,0,0,0,2,1,1,2,0,0,0,0,0,8,3,11
CHAYANTA,atencion odontologica,consulta repetida,2015-01-01,5,26,12,6,4,3,1,24,0,2,0,1,0,5,22,67,89
CHIMORE,atencion odontologica,consulta repetida,2015-01-01,10,6,4,1,1,8,0,16,1,0,0,1,0,20,16,52,68
CHIPAYA,atencion odontologica,consulta repetida,2015-01-01,0,0,1,2,0,0,4,4,0,0,0,0,0,1,5,7,12
CHOQUE COTA,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consulta repetida,2015-01-01,5,3,3,2,3,1,0,5,0,0,0,0,0,0,11,11,22
CHUMA,atencion odontologica,consulta repetida,2015-01-01,1,0,0,0,0,1,3,9,0,1,0,0,0,1,4,12,16
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consulta repetida,2015-01-01,8,7,1,0,1,13,2,2,2,3,0,3,0,7,14,35,49
CKOCHAS,atencion odontologica,consulta repetida,2015-01-01,2,0,0,0,0,1,0,3,2,0,0,0,0,0,4,4,8
CLIZA,atencion odontologica,consulta repetida,2015-01-01,6,3,6,6,0,4,0,12,2,13,0,1,0,2,14,41,55
COBIJA,atencion odontologica,consulta repetida,2015-01-01,47,13,30,26,15,32,30,41,4,0,0,1,0,0,126,113,239
COCAPATA,atencion odontologica,consulta repetida,2015-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
