,group,variable,month,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA EMB,ENDODONCIA EMB,ENDODONCIA POST,ENDODONCIA POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,1,3
ACHACACHI,atencion odontologica,endodoncia,2015-01-01,6,13,3,4,1,4,10,11,1,1,0,0,0,0,21,33,54
ACHOCALLA,atencion odontologica,endodoncia,2015-01-01,3,3,6,0,1,1,1,0,0,0,0,0,0,0,11,4,15
AIQUILE,atencion odontologica,endodoncia,2015-01-01,6,2,8,7,0,0,2,5,9,4,0,0,0,0,25,18,43
ALTO BENI,atencion odontologica,endodoncia,2015-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ANCORAIMES,atencion odontologica,endodoncia,2015-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ANDAMARCA,atencion odontologica,endodoncia,2015-01-01,0,1,1,0,0,0,0,2,1,0,0,0,0,0,2,3,5
ANTEQUERA,atencion odontologica,endodoncia,2015-01-01,1,1,0,1,0,0,3,0,0,1,0,0,0,0,4,3,7
ANZALDO,atencion odontologica,endodoncia,2015-01-01,2,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,4
ARAMPAMPA,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
ARANI,atencion odontologica,endodoncia,2015-01-01,1,6,0,2,0,0,0,5,0,0,0,0,0,0,1,13,14
ARBIETO,atencion odontologica,endodoncia,2015-01-01,1,0,0,1,0,0,0,0,3,2,0,0,0,0,4,3,7
ASCENCION DE GUARAYOS,atencion odontologica,endodoncia,2015-01-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
ATOCHA,atencion odontologica,endodoncia,2015-01-01,4,2,11,8,3,11,19,23,2,2,0,0,0,0,39,46,85
AYO AYO,atencion odontologica,endodoncia,2015-01-01,1,2,2,0,1,6,2,3,0,0,0,0,0,0,6,11,17
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,endodoncia,2015-01-01,6,6,6,7,2,3,9,11,7,5,0,0,0,0,30,32,62
AZURDUY,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BATALLAS,atencion odontologica,endodoncia,2015-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BELEN DE ANDAMARCA,atencion odontologica,endodoncia,2015-01-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
BELEN DE URMIRI,atencion odontologica,endodoncia,2015-01-01,3,3,0,2,0,2,0,2,1,0,0,0,0,0,4,9,13
BERMEJO,atencion odontologica,endodoncia,2015-01-01,1,0,14,9,3,9,11,27,3,9,0,0,0,0,32,54,86
BETANZOS,atencion odontologica,endodoncia,2015-01-01,1,0,0,0,0,1,1,6,0,1,0,0,0,0,2,8,10
BOYUIBE,atencion odontologica,endodoncia,2015-01-01,0,4,2,1,0,0,2,0,0,0,0,0,0,0,4,5,9
BUENA VISTA,atencion odontologica,endodoncia,2015-01-01,1,0,0,2,0,2,0,3,1,0,0,0,0,0,2,7,9
CABEZAS,atencion odontologica,endodoncia,2015-01-01,0,0,2,6,2,4,5,13,0,0,0,0,0,0,9,23,32
CAIROMA,atencion odontologica,endodoncia,2015-01-01,0,0,0,1,0,3,0,4,0,0,0,0,0,0,0,8,8
"CAIZA ""D""",atencion odontologica,endodoncia,2015-01-01,3,1,0,0,0,0,1,1,0,0,0,0,0,0,4,2,6
CAJUATA,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CALAMARCA,atencion odontologica,endodoncia,2015-01-01,1,0,1,4,0,2,1,5,0,1,0,0,0,0,3,12,15
CAMARGO,atencion odontologica,endodoncia,2015-01-01,1,3,1,2,0,1,0,15,0,0,0,0,0,0,2,21,23
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CAMIRI,atencion odontologica,endodoncia,2015-01-01,1,1,3,1,1,4,6,12,1,0,0,0,0,0,12,18,30
CAPINOTA,atencion odontologica,endodoncia,2015-01-01,6,2,9,3,3,5,4,8,2,1,0,0,0,0,24,19,43
CARACOLLO,atencion odontologica,endodoncia,2015-01-01,9,2,5,11,0,1,0,13,0,0,0,0,0,0,14,27,41
CARANAVI,atencion odontologica,endodoncia,2015-01-01,32,4,3,4,1,2,6,6,2,0,0,0,0,0,44,16,60
CARAPARI,atencion odontologica,endodoncia,2015-01-01,0,0,1,2,3,14,10,14,3,1,0,0,0,0,17,31,48
CARIPUYO,atencion odontologica,endodoncia,2015-01-01,21,3,0,0,0,2,0,4,0,0,0,0,0,0,21,9,30
CHALLAPATA,atencion odontologica,endodoncia,2015-01-01,3,6,4,3,0,1,1,9,1,2,0,0,0,0,9,21,30
CHARAGUA,atencion odontologica,endodoncia,2015-01-01,1,1,2,1,0,1,1,2,0,0,0,0,0,0,4,5,9
CHAYANTA,atencion odontologica,endodoncia,2015-01-01,1,3,1,2,1,0,0,4,0,0,0,0,0,0,3,9,12
CHIMORE,atencion odontologica,endodoncia,2015-01-01,6,5,0,0,2,4,0,9,0,0,0,0,0,0,8,18,26
CHOQUE COTA,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHUA COCANI,atencion odontologica,endodoncia,2015-01-01,0,4,1,2,0,2,2,0,0,9,0,0,0,0,3,17,20
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,endodoncia,2015-01-01,8,0,0,2,1,5,1,5,0,0,0,0,0,0,10,12,22
CHUMA,atencion odontologica,endodoncia,2015-01-01,4,0,2,2,1,2,2,11,1,2,0,0,0,0,10,17,27
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,endodoncia,2015-01-01,5,11,0,0,0,6,0,7,1,2,0,0,0,0,6,26,32
CKOCHAS,atencion odontologica,endodoncia,2015-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CLIZA,atencion odontologica,endodoncia,2015-01-01,5,5,11,19,0,7,0,17,7,5,0,0,0,0,23,53,76
COBIJA,atencion odontologica,endodoncia,2015-01-01,9,1,4,3,2,2,5,5,0,0,0,0,0,0,20,11,31
COCAPATA,atencion odontologica,endodoncia,2015-01-01,1,2,0,0,0,2,2,7,0,0,0,0,0,0,3,11,14
