,group,variable,month,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA EMB,PERIODONCIA EMB,PERIODONCIA POST,PERIODONCIA POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
ACHACACHI,atencion odontologica,periodoncia,2015-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
AIQUILE,atencion odontologica,periodoncia,2015-01-01,0,0,3,0,0,3,6,15,5,0,0,0,0,0,14,18,32
ALCALA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,3
ANCORAIMES,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,1,1,0,5,1,0,0,0,0,0,2,6,8
ANDAMARCA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,3
ANZALDO,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,3,4
ARAMPAMPA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,1,0,1,11,8,0,0,0,0,11,10,21
ARANI,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5
ARBIETO,atencion odontologica,periodoncia,2015-01-01,0,0,0,1,0,12,1,9,4,9,0,0,0,0,5,31,36
ARQUE,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,1,1,1,2,0,2,0,0,0,0,2,5,7
ASCENCION DE GUARAYOS,atencion odontologica,periodoncia,2015-01-01,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,5,5
ATOCHA,atencion odontologica,periodoncia,2015-01-01,0,0,0,2,1,2,20,13,7,5,0,0,0,0,28,22,50
AYATA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,1,5
AYO AYO,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,periodoncia,2015-01-01,0,0,1,0,0,14,3,7,2,2,0,0,0,0,6,23,29
AZURDUY,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
BAURES,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
BELEN DE ANDAMARCA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BELEN DE URMIRI,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,3
BERMEJO,atencion odontologica,periodoncia,2015-01-01,0,0,2,3,3,8,4,8,1,4,0,0,0,0,10,23,33
BETANZOS,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,3,4
BOYUIBE,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BUENA VISTA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,3
CABEZAS,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,3,0,3,2,13,0,0,0,0,2,19,21
CAIROMA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"CAIZA ""D""",atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CAJUATA,atencion odontologica,periodoncia,2015-01-01,0,0,1,7,1,1,8,11,0,0,0,0,0,0,10,19,29
CALAMARCA,atencion odontologica,periodoncia,2015-01-01,0,0,2,3,0,0,2,1,0,0,0,0,0,0,4,4,8
CAMARGO,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
CAMIRI,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,2,2,2,8,1,0,0,0,0,0,5,10,15
CAPINOTA,atencion odontologica,periodoncia,2015-01-01,0,0,11,7,0,2,2,10,2,2,0,0,0,0,15,21,36
CAQUIAVIRI,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,6
CARACOLLO,atencion odontologica,periodoncia,2015-01-01,0,0,0,1,0,1,4,3,1,0,0,0,0,0,5,5,10
CARANAVI,atencion odontologica,periodoncia,2015-01-01,0,0,7,8,12,12,13,15,7,7,0,0,0,0,39,42,81
CARAPARI,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,2,2,3,4,0,0,0,0,0,0,5,6,11
CARIPUYO,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CARMEN RIVERO TORREZ,atencion odontologica,periodoncia,2015-01-01,0,0,1,0,0,7,1,34,1,5,0,0,0,0,3,46,49
CHALLAPATA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,3,8,8,2,5,0,0,0,0,10,16,26
CHARAGUA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,1,3,10,1,0,0,0,0,0,4,11,15
CHAYANTA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,3
CHIMORE,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,3,4
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,periodoncia,2015-01-01,0,0,1,0,0,1,2,7,0,0,0,0,0,0,3,8,11
CHUMA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,6,6,13,2,1,0,0,0,0,8,20,28
CKOCHAS,atencion odontologica,periodoncia,2015-01-01,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,1,4
CLIZA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,1,10,16,6,10,0,0,0,0,16,27,43
COBIJA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,3,2,0,13,2,0,0,0,0,0,5,15,20
COCAPATA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
COCHABAMBA,atencion odontologica,periodoncia,2015-01-01,0,0,107,109,161,234,526,977,55,50,0,0,0,0,849,1370,2219
COLCAPIRHUA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,1,2,13,4,3,0,0,0,0,6,17,23
COLLANA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,5,5
COLOMI,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,6,2,2,0,0,0,0,2,8,10
