,group,variable,month,APLICACIÓN DE FLUOR MENORES DE 5 AÑOS,APLICACIÓN DE FLUOR MENORES DE 5 AÑOS,APLICACIÓN DE FLUOR 5 A 13 AÑOS,APLICACIÓN DE FLUOR 5 A 13 AÑOS,APLICACIÓN DE FLUOR 14 A 19 AÑOS,APLICACIÓN DE FLUOR 14 A 19 AÑOS,APLICACIÓN DE FLUOR 20 A 59 AÑOS,APLICACIÓN DE FLUOR 20 A 59 AÑOS,APLICACIÓN DE FLUOR 60 AÑOS Y MAS,APLICACIÓN DE FLUOR 60 AÑOS Y MAS,APLICACIÓN DE FLUOR EMB,APLICACIÓN DE FLUOR EMB,APLICACIÓN DE FLUOR POST,APLICACIÓN DE FLUOR POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,aplicacion de fluor,2015-01-01,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,4,5
ACHACACHI,atencion odontologica,aplicacion de fluor,2015-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ACHOCALLA,atencion odontologica,aplicacion de fluor,2015-01-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
AIQUILE,atencion odontologica,aplicacion de fluor,2015-01-01,1,4,0,3,0,0,0,1,0,0,0,0,0,0,1,8,9
ALCALA,atencion odontologica,aplicacion de fluor,2015-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ALTO BENI,atencion odontologica,aplicacion de fluor,2015-01-01,7,5,0,0,0,1,0,0,0,0,0,0,0,0,7,6,13
ANCORAIMES,atencion odontologica,aplicacion de fluor,2015-01-01,8,8,1,0,0,1,0,0,0,0,0,0,0,0,9,9,18
ANZALDO,atencion odontologica,aplicacion de fluor,2015-01-01,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3
APOLO,atencion odontologica,aplicacion de fluor,2015-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ARAMPAMPA,atencion odontologica,aplicacion de fluor,2015-01-01,6,4,0,0,0,0,0,3,0,0,0,0,0,0,6,7,13
ARANI,atencion odontologica,aplicacion de fluor,2015-01-01,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,3,4
ARBIETO,atencion odontologica,aplicacion de fluor,2015-01-01,1,4,0,1,0,0,0,3,0,1,0,0,0,0,1,9,10
ARQUE,atencion odontologica,aplicacion de fluor,2015-01-01,0,0,1,0,0,0,2,3,1,1,0,0,0,0,4,4,8
ASCENCION DE GUARAYOS,atencion odontologica,aplicacion de fluor,2015-01-01,31,37,4,2,0,0,0,29,0,0,0,0,0,0,35,68,103
ATOCHA,atencion odontologica,aplicacion de fluor,2015-01-01,4,11,13,0,0,1,0,1,0,0,0,0,0,0,17,13,30
AUCAPATA,atencion odontologica,aplicacion de fluor,2015-01-01,3,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2,5
AYATA,atencion odontologica,aplicacion de fluor,2015-01-01,2,2,1,1,0,0,0,0,0,0,0,0,0,0,3,3,6
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,aplicacion de fluor,2015-01-01,18,19,5,6,0,7,3,11,0,0,0,0,0,0,26,43,69
BAURES,atencion odontologica,aplicacion de fluor,2015-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
BELEN DE ANDAMARCA,atencion odontologica,aplicacion de fluor,2015-01-01,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,3,4
BELEN DE URMIRI,atencion odontologica,aplicacion de fluor,2015-01-01,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
BELLA FLOR,atencion odontologica,aplicacion de fluor,2015-01-01,13,24,34,20,1,2,0,0,0,0,0,0,0,0,48,46,94
BERMEJO,atencion odontologica,aplicacion de fluor,2015-01-01,1,1,1,0,3,0,0,0,0,0,0,0,0,0,5,1,6
BETANZOS,atencion odontologica,aplicacion de fluor,2015-01-01,24,21,0,0,0,0,0,2,0,0,0,0,0,0,24,23,47
BOLPEBRA,atencion odontologica,aplicacion de fluor,2015-01-01,3,7,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10
BOYUIBE,atencion odontologica,aplicacion de fluor,2015-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CABEZAS,atencion odontologica,aplicacion de fluor,2015-01-01,50,61,0,0,0,0,0,0,0,0,0,0,0,0,50,61,111
CAIROMA,atencion odontologica,aplicacion de fluor,2015-01-01,18,22,0,0,0,0,0,0,0,0,0,0,0,0,18,22,40
"CAIZA ""D""",atencion odontologica,aplicacion de fluor,2015-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CAJUATA,atencion odontologica,aplicacion de fluor,2015-01-01,6,5,0,0,1,0,0,1,0,0,0,0,0,0,7,6,13
CALACOTO,atencion odontologica,aplicacion de fluor,2015-01-01,5,2,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
CALAMARCA,atencion odontologica,aplicacion de fluor,2015-01-01,14,11,0,0,0,0,0,0,0,0,0,0,0,0,14,11,25
CAMARGO,atencion odontologica,aplicacion de fluor,2015-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CAMIRI,atencion odontologica,aplicacion de fluor,2015-01-01,9,19,2,4,0,1,0,2,0,0,0,0,0,0,11,26,37
CAPINOTA,atencion odontologica,aplicacion de fluor,2015-01-01,25,18,53,35,11,23,20,43,8,5,0,0,0,0,117,124,241
CAQUIAVIRI,atencion odontologica,aplicacion de fluor,2015-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CARACOLLO,atencion odontologica,aplicacion de fluor,2015-01-01,0,0,1,3,0,1,0,5,0,0,0,0,0,0,1,9,10
CARANAVI,atencion odontologica,aplicacion de fluor,2015-01-01,21,24,2,4,1,1,2,0,0,0,0,0,0,0,26,29,55
CARIPUYO,atencion odontologica,aplicacion de fluor,2015-01-01,3,3,0,0,0,0,0,0,0,1,0,0,0,0,3,4,7
CARMEN RIVERO TORREZ,atencion odontologica,aplicacion de fluor,2015-01-01,68,55,0,0,0,0,0,0,0,0,0,0,0,0,68,55,123
CATACORA,atencion odontologica,aplicacion de fluor,2015-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CHALLAPATA,atencion odontologica,aplicacion de fluor,2015-01-01,1,2,4,3,2,1,0,1,0,1,0,0,0,0,7,8,15
CHAQUI,atencion odontologica,aplicacion de fluor,2015-01-01,9,3,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12
CHARAGUA,atencion odontologica,aplicacion de fluor,2015-01-01,28,14,1,2,2,2,0,2,0,0,0,0,0,0,31,20,51
CHARAÑA,atencion odontologica,aplicacion de fluor,2015-01-01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
CHAYANTA,atencion odontologica,aplicacion de fluor,2015-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
