,group,variable,month,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES EMB,RESTAURACIONES EMB,RESTAURACIONES POST,RESTAURACIONES POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,restauraciones,2015-01-01,4,2,4,0,0,1,0,6,0,2,0,0,0,0,8,11,19
ACHACACHI,atencion odontologica,restauraciones,2015-01-01,29,62,8,17,7,9,17,28,8,2,0,0,0,0,69,118,187
ACHOCALLA,atencion odontologica,restauraciones,2015-01-01,17,18,11,7,4,4,2,2,0,0,0,0,0,0,34,31,65
AIQUILE,atencion odontologica,restauraciones,2015-01-01,35,43,35,37,9,14,15,79,22,6,0,0,0,0,116,179,295
ALCALA,atencion odontologica,restauraciones,2015-01-01,3,1,6,3,7,5,1,4,0,0,0,0,0,0,17,13,30
ALTO BENI,atencion odontologica,restauraciones,2015-01-01,3,6,0,0,0,0,0,14,0,0,0,0,0,0,3,20,23
ANCORAIMES,atencion odontologica,restauraciones,2015-01-01,0,3,0,0,0,0,0,0,1,1,0,0,0,0,1,4,5
ANDAMARCA,atencion odontologica,restauraciones,2015-01-01,7,13,4,11,0,8,9,7,3,2,0,0,0,0,23,41,64
ANTEQUERA,atencion odontologica,restauraciones,2015-01-01,3,1,0,1,0,0,10,8,0,1,0,0,0,0,13,11,24
ANZALDO,atencion odontologica,restauraciones,2015-01-01,15,1,0,0,0,5,7,34,1,0,0,0,0,0,23,40,63
APOLO,atencion odontologica,restauraciones,2015-01-01,4,6,2,4,1,9,4,13,0,0,0,0,0,0,11,32,43
ARAMPAMPA,atencion odontologica,restauraciones,2015-01-01,6,11,0,0,0,0,3,10,0,0,0,0,0,0,9,21,30
ARANI,atencion odontologica,restauraciones,2015-01-01,12,20,1,7,5,5,0,31,0,0,0,0,0,0,18,63,81
ARBIETO,atencion odontologica,restauraciones,2015-01-01,14,25,6,12,1,28,3,17,3,4,0,0,0,0,27,86,113
ARQUE,atencion odontologica,restauraciones,2015-01-01,4,6,1,5,1,14,4,25,0,1,0,0,0,0,10,51,61
ASCENCION DE GUARAYOS,atencion odontologica,restauraciones,2015-01-01,6,8,0,3,0,15,2,24,1,0,0,0,0,0,9,50,59
ATOCHA,atencion odontologica,restauraciones,2015-01-01,32,25,37,49,42,72,89,109,17,7,0,0,0,0,217,262,479
AUCAPATA,atencion odontologica,restauraciones,2015-01-01,0,1,0,0,1,2,0,2,0,0,0,0,0,0,1,5,6
AYATA,atencion odontologica,restauraciones,2015-01-01,1,0,0,0,0,1,0,6,0,0,0,0,0,0,1,7,8
AYO AYO,atencion odontologica,restauraciones,2015-01-01,12,8,2,3,0,5,1,5,1,4,0,0,0,0,16,25,41
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,restauraciones,2015-01-01,15,30,28,27,14,37,33,61,2,6,0,0,0,0,92,161,253
AZURDUY,atencion odontologica,restauraciones,2015-01-01,2,0,0,0,11,8,5,9,0,0,0,0,0,0,18,17,35
BATALLAS,atencion odontologica,restauraciones,2015-01-01,0,1,2,0,0,8,1,1,0,0,0,0,0,0,3,10,13
BAURES,atencion odontologica,restauraciones,2015-01-01,5,1,1,5,9,6,9,13,1,0,0,0,0,0,25,25,50
BELEN DE ANDAMARCA,atencion odontologica,restauraciones,2015-01-01,5,5,3,0,0,2,1,0,6,0,0,0,0,0,15,7,22
BELEN DE URMIRI,atencion odontologica,restauraciones,2015-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BELLA FLOR,atencion odontologica,restauraciones,2015-01-01,0,4,9,9,1,3,0,2,0,0,0,0,0,0,10,18,28
BERMEJO,atencion odontologica,restauraciones,2015-01-01,6,2,79,53,36,129,70,181,8,15,0,0,0,0,199,380,579
BETANZOS,atencion odontologica,restauraciones,2015-01-01,17,8,8,22,19,29,26,57,2,2,0,0,0,0,72,118,190
BOLIVAR,atencion odontologica,restauraciones,2015-01-01,0,2,1,1,2,1,2,0,0,0,0,0,0,0,5,4,9
BOYUIBE,atencion odontologica,restauraciones,2015-01-01,0,5,11,9,3,15,4,4,0,2,0,0,0,0,18,35,53
BUENA VISTA,atencion odontologica,restauraciones,2015-01-01,3,6,5,1,11,11,3,10,8,4,0,0,0,0,30,32,62
CABEZAS,atencion odontologica,restauraciones,2015-01-01,12,8,2,7,13,17,10,23,0,1,0,0,0,0,37,56,93
CAIROMA,atencion odontologica,restauraciones,2015-01-01,6,7,4,4,0,1,1,3,0,0,0,0,0,0,11,15,26
"CAIZA ""D""",atencion odontologica,restauraciones,2015-01-01,7,6,3,11,0,3,3,18,1,2,0,0,0,0,14,40,54
CAJUATA,atencion odontologica,restauraciones,2015-01-01,4,9,0,2,3,3,10,16,0,0,0,0,0,0,17,30,47
CALACOTO,atencion odontologica,restauraciones,2015-01-01,0,0,5,3,0,0,0,0,0,0,0,0,0,0,5,3,8
CALAMARCA,atencion odontologica,restauraciones,2015-01-01,11,17,10,8,7,11,63,32,3,2,0,0,0,0,94,70,164
CAMARGO,atencion odontologica,restauraciones,2015-01-01,3,14,4,9,0,12,5,32,1,0,0,0,0,0,13,67,80
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,restauraciones,2015-01-01,0,0,5,1,0,0,1,0,0,0,0,0,0,0,6,1,7
CAMIRI,atencion odontologica,restauraciones,2015-01-01,13,38,18,7,7,48,31,103,11,1,0,0,0,0,80,197,277
CAPINOTA,atencion odontologica,restauraciones,2015-01-01,18,26,11,17,6,21,5,34,6,7,0,0,0,0,46,105,151
CAQUIAVIRI,atencion odontologica,restauraciones,2015-01-01,6,13,1,5,1,8,0,14,2,3,0,0,0,0,10,43,53
CARACOLLO,atencion odontologica,restauraciones,2015-01-01,2,12,18,36,14,18,4,19,2,1,0,0,0,0,40,86,126
CARANAVI,atencion odontologica,restauraciones,2015-01-01,47,19,9,5,10,14,7,20,10,1,0,0,0,0,83,59,142
CARAPARI,atencion odontologica,restauraciones,2015-01-01,6,7,21,57,37,122,43,84,0,1,0,0,0,0,107,271,378
CARIPUYO,atencion odontologica,restauraciones,2015-01-01,22,14,2,2,2,3,4,13,0,0,0,0,0,0,30,32,62
CARMEN RIVERO TORREZ,atencion odontologica,restauraciones,2015-01-01,16,12,1,1,0,2,0,4,0,0,0,0,0,0,17,19,36
CATACORA,atencion odontologica,restauraciones,2015-01-01,6,0,2,4,15,2,3,1,0,0,0,0,0,0,26,7,33
CHALLAPATA,atencion odontologica,restauraciones,2015-01-01,74,123,81,71,14,27,22,112,3,13,0,0,0,0,194,346,540
