,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR POST,CIRUGIA BUCOMAXILOFACIAL MENOR POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
BERMEJO,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BOLIVAR,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CAIROMA,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,1,1,1,2,0,0,0,0,0,0,0,0,0,0,2,3,5
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CAQUIAVIRI,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,1,1,1,0,2,18,11,0,0,0,0,19,15,34
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,11,0,1,1,0,2,0,0,0,0,0,0,12,3,15
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,4,8,16,19,3,2,5,20,4,1,0,0,0,0,32,50,82
CKOCHAS,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,2,2,0,2,0,0,0,0,0,0,0,4,2,6
COCAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,3,1,0,0,2,0,0,0,0,0,0,0,5,1,6
COLQUENCHA,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,2,5,0,2,4,1,3,0,0,0,0,0,9,8,17
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,1,4,3,1,1,0,9,1,0,0,0,0,0,6,14,20
EL TORNO,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,1,4,0,2,1,7,0,0,0,0,0,0,2,13,15
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
HUACARETA,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LA ASUNTA,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,2,1,3,4,8,13,21,0,2,0,0,0,0,18,36,54
MAGDALENA,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
MIZQUE,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,3,15,0,4,2,9,4,4,0,0,0,0,9,32,41
OCURI,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,1,3,2,3,1,1,8,9,1,0,0,0,0,0,13,16,29
POCONA,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
POJO (CBBA),atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,0,0,2,0,15,0,1,0,0,0,0,0,18,18
PUERTO CARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ROBORE,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,0,0,0,6,10,1,0,0,0,0,0,7,10,17
SACACA,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SALINAS DE GARCI MENDOZA,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,0,0,0,4,10,0,5,0,0,0,0,4,15,19
SAN CARLOS,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN LORENZO(TJA),atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,3
SANTA ANA,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,0,0,0,7,11,0,0,0,0,0,0,7,11,18
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,6,12,7,5,3,3,7,16,2,0,0,0,0,0,25,36,61
SIPE SIPE,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,5,6,4,14,1,4,11,14,1,1,0,0,0,0,22,39,61
TACOPAYA,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,1,0,4,4,6,8,4,0,0,0,0,12,15,27
TARATA,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,4,3,0,0,0,0,0,0,0,0,0,0,4,3,7
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,1,3,0,9,3,10,10,0,0,0,0,0,0,22,14,36
TIQUIPAYA,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,1,6,2,1,7,1,8,0,0,0,0,0,0,8,18,26
TODOS SANTOS,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
