,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,consulta nueva,2015-01-01,19,16,0,10,1,8,5,25,3,4,0,0,0,0,28,63,91
ACHACACHI,atencion odontologica,consulta nueva,2015-01-01,108,143,55,69,27,42,64,132,41,42,0,2,0,4,295,434,729
ACHOCALLA,atencion odontologica,consulta nueva,2015-01-01,45,44,20,11,2,7,8,6,0,1,0,2,0,6,75,77,152
AIQUILE,atencion odontologica,consulta nueva,2015-01-01,72,134,47,62,3,5,11,30,24,14,0,59,0,29,157,333,490
ALCALA,atencion odontologica,consulta nueva,2015-01-01,56,55,13,6,7,4,8,9,2,0,0,3,0,12,86,89,175
ALTO BENI,atencion odontologica,consulta nueva,2015-01-01,22,25,4,5,0,6,7,25,1,1,0,6,0,5,34,73,107
ANCORAIMES,atencion odontologica,consulta nueva,2015-01-01,14,13,11,8,4,10,11,32,16,15,0,1,0,1,56,80,136
ANDAMARCA,atencion odontologica,consulta nueva,2015-01-01,13,30,14,29,3,14,21,22,10,9,0,10,0,5,61,119,180
ANTEQUERA,atencion odontologica,consulta nueva,2015-01-01,1,1,0,3,0,0,17,8,4,4,0,1,0,0,22,17,39
ANZALDO,atencion odontologica,consulta nueva,2015-01-01,54,35,1,3,4,14,18,80,7,22,0,3,0,51,84,208,292
APOLO,atencion odontologica,consulta nueva,2015-01-01,7,13,4,25,1,17,6,25,1,0,0,3,0,17,19,100,119
ARAMPAMPA,atencion odontologica,consulta nueva,2015-01-01,30,24,2,1,0,2,7,22,12,8,0,10,0,3,51,70,121
ARANI,atencion odontologica,consulta nueva,2015-01-01,30,62,16,27,13,8,12,62,2,5,0,22,0,17,73,203,276
ARBIETO,atencion odontologica,consulta nueva,2015-01-01,85,105,17,28,3,50,8,67,41,49,0,34,0,51,154,384,538
ARQUE,atencion odontologica,consulta nueva,2015-01-01,12,11,9,12,6,22,16,52,3,7,0,12,0,11,46,127,173
ASCENCION DE GUARAYOS,atencion odontologica,consulta nueva,2015-01-01,20,24,1,11,0,5,0,20,3,0,0,11,0,8,24,79,103
ATOCHA,atencion odontologica,consulta nueva,2015-01-01,41,50,85,80,57,105,142,159,21,11,0,10,0,1,346,416,762
AUCAPATA,atencion odontologica,consulta nueva,2015-01-01,4,2,2,2,6,2,6,12,2,2,0,1,0,0,20,21,41
AYATA,atencion odontologica,consulta nueva,2015-01-01,7,5,10,6,7,7,10,25,1,2,0,1,0,2,35,48,83
AYO AYO,atencion odontologica,consulta nueva,2015-01-01,16,12,12,14,1,16,8,39,7,13,0,0,0,4,44,98,142
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consulta nueva,2015-01-01,75,103,36,36,24,46,62,121,17,12,0,43,0,59,214,420,634
AZURDUY,atencion odontologica,consulta nueva,2015-01-01,15,2,4,1,11,16,10,25,0,0,0,5,0,0,40,49,89
BATALLAS,atencion odontologica,consulta nueva,2015-01-01,1,1,7,9,1,13,10,9,7,9,0,1,0,9,26,51,77
BAURES,atencion odontologica,consulta nueva,2015-01-01,7,2,10,8,9,14,29,27,3,0,0,0,0,4,58,55,113
BELEN DE ANDAMARCA,atencion odontologica,consulta nueva,2015-01-01,15,11,14,4,0,11,4,6,12,4,0,7,0,4,45,47,92
BELEN DE URMIRI,atencion odontologica,consulta nueva,2015-01-01,10,9,2,5,0,1,1,10,3,0,0,1,0,1,16,27,43
BELLA FLOR,atencion odontologica,consulta nueva,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,3
BERMEJO,atencion odontologica,consulta nueva,2015-01-01,18,17,143,139,47,183,113,252,15,7,0,38,0,0,336,636,972
BETANZOS,atencion odontologica,consulta nueva,2015-01-01,59,49,11,26,17,31,32,89,17,12,0,21,0,26,136,254,390
BOLIVAR,atencion odontologica,consulta nueva,2015-01-01,2,3,2,3,2,2,6,2,2,4,0,1,0,2,14,17,31
BOLPEBRA,atencion odontologica,consulta nueva,2015-01-01,3,9,0,0,0,0,2,4,0,0,0,0,0,0,5,13,18
BOYUIBE,atencion odontologica,consulta nueva,2015-01-01,1,11,17,17,5,18,9,9,3,4,0,0,0,0,35,59,94
BUENA VISTA,atencion odontologica,consulta nueva,2015-01-01,20,1,1,7,5,35,2,22,5,5,0,5,0,1,33,76,109
CABEZAS,atencion odontologica,consulta nueva,2015-01-01,79,88,15,24,30,44,44,108,26,22,0,43,0,21,194,350,544
CAIROMA,atencion odontologica,consulta nueva,2015-01-01,20,20,15,17,4,10,7,18,0,0,0,0,0,1,46,66,112
"CAIZA ""D""",atencion odontologica,consulta nueva,2015-01-01,31,26,11,21,2,8,18,58,9,11,0,12,0,19,71,155,226
CAJUATA,atencion odontologica,consulta nueva,2015-01-01,57,96,5,14,7,21,27,62,1,0,0,5,0,27,97,225,322
CALACOTO,atencion odontologica,consulta nueva,2015-01-01,7,14,10,10,0,0,5,5,5,9,0,2,0,0,27,40,67
CALAMARCA,atencion odontologica,consulta nueva,2015-01-01,48,45,49,40,23,31,51,104,15,20,0,15,0,24,186,279,465
CAMARGO,atencion odontologica,consulta nueva,2015-01-01,46,95,14,25,2,31,15,130,12,3,0,33,0,34,89,351,440
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consulta nueva,2015-01-01,0,0,4,3,3,1,6,0,0,0,0,0,0,1,13,5,18
CAMIRI,atencion odontologica,consulta nueva,2015-01-01,82,74,43,40,16,68,46,153,27,27,0,102,0,40,214,504,718
CAPINOTA,atencion odontologica,consulta nueva,2015-01-01,75,67,34,41,13,44,24,77,24,27,0,22,0,37,170,315,485
CAQUIAVIRI,atencion odontologica,consulta nueva,2015-01-01,26,30,9,12,5,19,18,46,26,18,0,11,0,12,84,148,232
CARACOLLO,atencion odontologica,consulta nueva,2015-01-01,45,45,88,107,9,61,53,136,9,20,0,12,0,4,204,385,589
CARANAVI,atencion odontologica,consulta nueva,2015-01-01,79,47,12,16,8,14,13,44,25,3,0,12,0,23,137,159,296
CARAPARI,atencion odontologica,consulta nueva,2015-01-01,15,9,32,64,38,117,59,111,1,4,0,2,0,5,145,312,457
CARIPUYO,atencion odontologica,consulta nueva,2015-01-01,70,52,11,11,4,11,7,24,1,4,0,8,0,13,93,123,216
CARMEN RIVERO TORREZ,atencion odontologica,consulta nueva,2015-01-01,274,206,6,3,0,22,2,128,3,10,0,70,0,61,285,500,785
