,group,variable,month,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
CAMIRI,atencion odontologica,trat. de fracturas dentoalveolares,2015-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CARANAVI,atencion odontologica,trat. de fracturas dentoalveolares,2015-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2015-01-01,0,2,0,0,0,0,4,1,1,1,0,0,0,0,5,4,9
CORIPATA,atencion odontologica,trat. de fracturas dentoalveolares,2015-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CUEVO,atencion odontologica,trat. de fracturas dentoalveolares,2015-01-01,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
GUAQUI,atencion odontologica,trat. de fracturas dentoalveolares,2015-01-01,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2015-01-01,0,1,9,0,1,1,38,21,6,3,0,0,0,0,54,26,80
MOJOCOYA,atencion odontologica,trat. de fracturas dentoalveolares,2015-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
PUERTO CARABUCO,atencion odontologica,trat. de fracturas dentoalveolares,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PUERTO PEREZ,atencion odontologica,trat. de fracturas dentoalveolares,2015-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2015-01-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2015-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
VILLA MONTES,atencion odontologica,trat. de fracturas dentoalveolares,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CAMIRI,atencion odontologica,trat. de fracturas dentoalveolares,2015-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2015-02-01,0,0,1,0,0,0,3,6,0,1,0,0,0,0,4,7,11
COMARAPA,atencion odontologica,trat. de fracturas dentoalveolares,2015-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
EL VILLAR,atencion odontologica,trat. de fracturas dentoalveolares,2015-02-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2015-02-01,6,2,5,3,1,3,40,49,3,5,0,0,0,0,55,62,117
SACABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2015-02-01,0,0,1,1,0,0,1,1,0,2,0,0,0,0,2,4,6
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2015-02-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2015-02-01,2,1,0,0,2,1,1,2,0,0,0,0,0,0,5,4,9
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2015-02-01,5,5,7,6,4,5,24,37,12,0,0,0,0,0,52,53,105
TUPIZA,atencion odontologica,trat. de fracturas dentoalveolares,2015-02-01,0,0,1,0,0,0,1,11,3,3,0,0,0,0,5,14,19
VILLA MONTES,atencion odontologica,trat. de fracturas dentoalveolares,2015-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
CAMIRI,atencion odontologica,trat. de fracturas dentoalveolares,2015-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHALLAPATA,atencion odontologica,trat. de fracturas dentoalveolares,2015-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,trat. de fracturas dentoalveolares,2015-03-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2015-03-01,6,14,0,0,0,0,0,0,0,0,0,0,0,0,6,14,20
CUEVO,atencion odontologica,trat. de fracturas dentoalveolares,2015-03-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2015-03-01,5,6,4,5,4,3,53,50,8,8,0,0,0,0,74,72,146
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2015-03-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
TARABUCO,atencion odontologica,trat. de fracturas dentoalveolares,2015-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2015-03-01,0,5,6,2,2,10,8,33,7,4,0,0,0,0,23,54,77
TUPIZA,atencion odontologica,trat. de fracturas dentoalveolares,2015-03-01,0,0,5,1,1,4,10,17,6,1,0,0,0,0,22,23,45
VILLA RIVERO,atencion odontologica,trat. de fracturas dentoalveolares,2015-03-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
WALDO BALLIVIAN,atencion odontologica,trat. de fracturas dentoalveolares,2015-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
ATOCHA,atencion odontologica,trat. de fracturas dentoalveolares,2015-04-01,0,0,2,1,1,0,0,2,0,0,0,0,0,0,3,3,6
CHAYANTA,atencion odontologica,trat. de fracturas dentoalveolares,2015-04-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
COBIJA,atencion odontologica,trat. de fracturas dentoalveolares,2015-04-01,0,0,1,0,0,1,2,1,3,0,0,0,0,0,6,2,8
