,group,variable,month,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS POST,MEDIDAS PREVENTIVAS POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,medidas preventivas,2015-01-01,8,5,1,0,0,2,1,3,0,0,0,0,0,0,10,10,20
ACHACACHI,atencion odontologica,medidas preventivas,2015-01-01,31,23,5,7,0,0,0,2,0,0,0,0,0,0,36,32,68
ACHOCALLA,atencion odontologica,medidas preventivas,2015-01-01,17,17,7,6,0,2,0,4,0,0,0,0,0,0,24,29,53
AIQUILE,atencion odontologica,medidas preventivas,2015-01-01,35,88,19,23,2,3,0,18,2,1,0,0,0,0,58,133,191
ALCALA,atencion odontologica,medidas preventivas,2015-01-01,40,43,0,1,0,1,0,2,0,0,0,0,0,0,40,47,87
ALTO BENI,atencion odontologica,medidas preventivas,2015-01-01,15,16,1,0,0,2,1,0,1,1,0,0,0,0,18,19,37
ANCORAIMES,atencion odontologica,medidas preventivas,2015-01-01,8,8,1,0,0,1,0,0,0,0,0,0,0,0,9,9,18
ANDAMARCA,atencion odontologica,medidas preventivas,2015-01-01,4,8,2,8,0,0,1,2,0,0,0,0,0,0,7,18,25
ANTEQUERA,atencion odontologica,medidas preventivas,2015-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ANZALDO,atencion odontologica,medidas preventivas,2015-01-01,20,18,0,0,0,3,0,5,2,8,0,0,0,0,22,34,56
APOLO,atencion odontologica,medidas preventivas,2015-01-01,1,5,1,6,0,2,1,0,0,0,0,0,0,0,3,13,16
ARAMPAMPA,atencion odontologica,medidas preventivas,2015-01-01,22,12,0,0,0,0,0,7,0,0,0,0,0,0,22,19,41
ARANI,atencion odontologica,medidas preventivas,2015-01-01,11,44,9,9,2,1,5,16,1,2,0,0,0,0,28,72,100
ARBIETO,atencion odontologica,medidas preventivas,2015-01-01,35,45,4,3,0,4,0,5,17,8,0,0,0,0,56,65,121
ARQUE,atencion odontologica,medidas preventivas,2015-01-01,6,0,0,0,0,0,2,2,1,1,0,0,0,0,9,3,12
ASCENCION DE GUARAYOS,atencion odontologica,medidas preventivas,2015-01-01,42,38,6,2,0,8,0,29,0,0,0,0,0,0,48,77,125
ATOCHA,atencion odontologica,medidas preventivas,2015-01-01,10,16,22,14,2,15,39,32,2,1,0,0,0,0,75,78,153
AUCAPATA,atencion odontologica,medidas preventivas,2015-01-01,4,1,0,1,0,0,0,0,0,0,0,0,0,0,4,2,6
AYATA,atencion odontologica,medidas preventivas,2015-01-01,4,4,2,2,0,0,0,1,0,0,0,0,0,0,6,7,13
AYO AYO,atencion odontologica,medidas preventivas,2015-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,medidas preventivas,2015-01-01,43,65,14,21,6,18,16,40,0,0,0,0,0,0,79,144,223
AZURDUY,atencion odontologica,medidas preventivas,2015-01-01,9,0,0,0,0,1,0,3,0,0,0,0,0,0,9,4,13
BATALLAS,atencion odontologica,medidas preventivas,2015-01-01,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,3
BAURES,atencion odontologica,medidas preventivas,2015-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
BELEN DE ANDAMARCA,atencion odontologica,medidas preventivas,2015-01-01,8,7,8,0,0,2,0,2,2,0,0,0,0,0,18,11,29
BELLA FLOR,atencion odontologica,medidas preventivas,2015-01-01,26,48,68,40,2,4,0,0,0,0,0,0,0,0,96,92,188
BERMEJO,atencion odontologica,medidas preventivas,2015-01-01,19,10,55,42,22,50,34,99,5,2,0,0,0,0,135,203,338
BETANZOS,atencion odontologica,medidas preventivas,2015-01-01,27,26,0,0,0,3,1,6,2,0,0,0,0,0,30,35,65
BOLPEBRA,atencion odontologica,medidas preventivas,2015-01-01,3,7,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10
BOYUIBE,atencion odontologica,medidas preventivas,2015-01-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2
BUENA VISTA,atencion odontologica,medidas preventivas,2015-01-01,6,4,0,4,3,6,0,5,0,0,0,0,0,0,9,19,28
CABEZAS,atencion odontologica,medidas preventivas,2015-01-01,19,32,1,4,1,0,1,3,0,0,0,0,0,0,22,39,61
CAIROMA,atencion odontologica,medidas preventivas,2015-01-01,11,10,4,7,0,0,1,3,0,0,0,0,0,0,16,20,36
CAJUATA,atencion odontologica,medidas preventivas,2015-01-01,24,64,0,0,1,2,1,6,0,0,0,0,0,0,26,72,98
CALACOTO,atencion odontologica,medidas preventivas,2015-01-01,3,7,1,0,0,0,0,0,2,0,0,0,0,0,6,7,13
CALAMARCA,atencion odontologica,medidas preventivas,2015-01-01,8,6,0,0,0,0,0,1,0,0,0,0,0,0,8,7,15
CAMARGO,atencion odontologica,medidas preventivas,2015-01-01,8,25,0,0,0,0,0,1,0,0,0,0,0,0,8,26,34
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,medidas preventivas,2015-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
CAMIRI,atencion odontologica,medidas preventivas,2015-01-01,41,42,16,20,5,7,22,39,2,4,0,0,0,0,86,112,198
CAPINOTA,atencion odontologica,medidas preventivas,2015-01-01,38,29,7,2,4,6,5,10,2,3,0,0,0,0,56,50,106
CAQUIAVIRI,atencion odontologica,medidas preventivas,2015-01-01,21,8,0,0,0,0,0,7,0,0,0,0,0,0,21,15,36
CARACOLLO,atencion odontologica,medidas preventivas,2015-01-01,4,3,6,13,0,1,1,4,0,0,0,0,0,0,11,21,32
CARANAVI,atencion odontologica,medidas preventivas,2015-01-01,28,18,11,17,21,20,14,17,0,0,0,0,0,0,74,72,146
CARAPARI,atencion odontologica,medidas preventivas,2015-01-01,8,1,0,2,2,1,1,3,0,0,0,0,0,0,11,7,18
CARIPUYO,atencion odontologica,medidas preventivas,2015-01-01,21,35,0,0,0,0,0,0,0,2,0,0,0,0,21,37,58
CARMEN RIVERO TORREZ,atencion odontologica,medidas preventivas,2015-01-01,139,159,0,1,0,6,0,32,0,0,0,0,0,0,139,198,337
CATACORA,atencion odontologica,medidas preventivas,2015-01-01,3,0,0,0,0,1,0,1,0,0,0,0,0,0,3,2,5
