,group,variable,month,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA EMB,EXODONCIA EMB,EXODONCIA POST,EXODONCIA POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,exodoncia,2015-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
ACHACACHI,atencion odontologica,exodoncia,2015-01-01,0,1,15,19,5,4,12,29,19,24,0,0,0,0,51,77,128
ACHOCALLA,atencion odontologica,exodoncia,2015-01-01,0,1,16,23,6,17,7,13,0,1,0,0,0,0,29,55,84
AIQUILE,atencion odontologica,exodoncia,2015-01-01,0,0,3,7,0,2,1,6,1,8,0,0,0,0,5,23,28
ALCALA,atencion odontologica,exodoncia,2015-01-01,0,0,2,0,1,0,4,2,0,1,0,0,0,0,7,3,10
ALTO BENI,atencion odontologica,exodoncia,2015-01-01,1,0,3,4,0,2,6,9,0,0,0,0,0,0,10,15,25
ANCORAIMES,atencion odontologica,exodoncia,2015-01-01,0,0,9,6,2,5,8,21,10,14,0,0,0,0,29,46,75
ANDAMARCA,atencion odontologica,exodoncia,2015-01-01,0,0,2,5,1,1,2,1,3,3,0,0,0,0,8,10,18
ANTEQUERA,atencion odontologica,exodoncia,2015-01-01,0,0,1,1,0,0,7,8,1,1,0,0,0,0,9,10,19
ANZALDO,atencion odontologica,exodoncia,2015-01-01,0,0,0,1,0,13,2,6,1,4,0,0,0,0,3,24,27
APOLO,atencion odontologica,exodoncia,2015-01-01,2,1,1,15,0,6,3,11,1,0,0,0,0,0,7,33,40
ARAMPAMPA,atencion odontologica,exodoncia,2015-01-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ARANI,atencion odontologica,exodoncia,2015-01-01,0,1,4,10,0,0,2,6,0,0,0,0,0,0,6,17,23
ARBIETO,atencion odontologica,exodoncia,2015-01-01,1,0,0,4,0,0,1,7,11,2,0,0,0,0,13,13,26
ARQUE,atencion odontologica,exodoncia,2015-01-01,0,0,7,6,1,6,2,16,0,4,0,0,0,0,10,32,42
ASCENCION DE GUARAYOS,atencion odontologica,exodoncia,2015-01-01,2,2,4,11,1,3,4,9,6,1,0,0,0,0,17,26,43
ATOCHA,atencion odontologica,exodoncia,2015-01-01,1,0,21,33,2,19,34,34,1,0,0,0,0,0,59,86,145
AUCAPATA,atencion odontologica,exodoncia,2015-01-01,0,0,2,1,4,0,5,9,2,2,0,0,0,0,13,12,25
AYATA,atencion odontologica,exodoncia,2015-01-01,0,0,6,1,6,8,6,14,1,2,0,0,0,0,19,25,44
AYO AYO,atencion odontologica,exodoncia,2015-01-01,1,0,4,2,0,3,0,9,1,5,0,0,0,0,6,19,25
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,exodoncia,2015-01-01,3,0,12,22,4,12,15,39,11,1,0,0,0,0,45,74,119
AZURDUY,atencion odontologica,exodoncia,2015-01-01,0,0,2,0,0,2,2,6,0,0,0,0,0,0,4,8,12
BATALLAS,atencion odontologica,exodoncia,2015-01-01,0,0,6,8,1,8,10,9,0,3,0,0,0,0,17,28,45
BAURES,atencion odontologica,exodoncia,2015-01-01,0,0,5,4,1,4,9,5,0,0,0,0,0,0,15,13,28
BELEN DE ANDAMARCA,atencion odontologica,exodoncia,2015-01-01,0,0,3,4,0,0,1,1,1,2,0,0,0,0,5,7,12
BELEN DE URMIRI,atencion odontologica,exodoncia,2015-01-01,0,0,2,0,0,0,0,6,1,0,0,0,0,0,3,6,9
BELLA FLOR,atencion odontologica,exodoncia,2015-01-01,0,0,0,0,1,1,1,2,0,0,0,0,0,0,2,3,5
BERMEJO,atencion odontologica,exodoncia,2015-01-01,1,0,18,16,9,16,15,33,7,36,0,0,0,0,50,101,151
BETANZOS,atencion odontologica,exodoncia,2015-01-01,0,0,4,8,1,5,8,18,10,8,0,0,0,0,23,39,62
BOLIVAR,atencion odontologica,exodoncia,2015-01-01,0,0,0,1,0,0,4,2,3,0,0,0,0,0,7,3,10
BOLPEBRA,atencion odontologica,exodoncia,2015-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
BOYUIBE,atencion odontologica,exodoncia,2015-01-01,0,0,3,4,2,0,3,2,2,2,0,0,0,0,10,8,18
BUENA VISTA,atencion odontologica,exodoncia,2015-01-01,1,0,2,6,0,2,1,4,1,0,0,0,0,0,5,12,17
CABEZAS,atencion odontologica,exodoncia,2015-01-01,0,0,4,8,9,8,4,33,0,2,0,0,0,0,17,51,68
CAIROMA,atencion odontologica,exodoncia,2015-01-01,6,3,7,4,5,13,14,18,0,5,0,0,0,0,32,43,75
"CAIZA ""D""",atencion odontologica,exodoncia,2015-01-01,0,0,2,4,2,3,2,10,4,3,0,0,0,0,10,20,30
CAJUATA,atencion odontologica,exodoncia,2015-01-01,1,1,4,2,2,3,6,9,6,0,0,0,0,0,19,15,34
CALACOTO,atencion odontologica,exodoncia,2015-01-01,0,0,1,5,0,0,2,0,3,4,0,0,0,0,6,9,15
CALAMARCA,atencion odontologica,exodoncia,2015-01-01,3,0,24,12,6,11,15,32,8,5,0,0,0,0,56,60,116
CAMARGO,atencion odontologica,exodoncia,2015-01-01,0,0,6,3,0,1,2,8,3,0,0,0,0,0,11,12,23
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,exodoncia,2015-01-01,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,2,3
CAMIRI,atencion odontologica,exodoncia,2015-01-01,2,0,6,13,3,4,9,20,7,19,0,0,0,0,27,56,83
CAPINOTA,atencion odontologica,exodoncia,2015-01-01,0,1,4,2,0,2,2,4,5,6,0,0,0,0,11,15,26
CAQUIAVIRI,atencion odontologica,exodoncia,2015-01-01,1,0,2,5,9,5,3,3,5,3,0,0,0,0,20,16,36
CARACOLLO,atencion odontologica,exodoncia,2015-01-01,1,1,26,31,2,13,19,29,2,8,0,0,0,0,50,82,132
CARANAVI,atencion odontologica,exodoncia,2015-01-01,8,2,3,4,3,2,5,13,20,1,0,0,0,0,39,22,61
CARAPARI,atencion odontologica,exodoncia,2015-01-01,0,0,11,22,3,10,14,23,5,0,0,0,0,0,33,55,88
CARIPUYO,atencion odontologica,exodoncia,2015-01-01,0,0,4,4,1,2,2,12,0,1,0,0,0,0,7,19,26
CARMEN RIVERO TORREZ,atencion odontologica,exodoncia,2015-01-01,1,1,1,0,0,1,1,24,0,0,0,0,0,0,3,26,29
CATACORA,atencion odontologica,exodoncia,2015-01-01,0,0,0,1,0,2,0,4,2,0,0,0,0,0,2,7,9
CHALLAPATA,atencion odontologica,exodoncia,2015-01-01,3,1,49,44,9,11,21,44,10,11,0,0,0,0,92,111,203
