,group,variable,month,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR POST,CIRUGIA BUCAL MENOR POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,cirugia bucal menor,2015-01-01,0,2,2,1,0,0,1,5,0,0,0,0,0,0,3,8,11
ACHACACHI,atencion odontologica,cirugia bucal menor,2015-01-01,5,7,2,2,2,0,6,15,2,7,0,0,0,0,17,31,48
ACHOCALLA,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,2,1,0,2,0,0,0,0,0,0,0,0,2,3,5
ALCALA,atencion odontologica,cirugia bucal menor,2015-01-01,1,1,3,3,0,0,2,4,3,0,0,0,0,0,9,8,17
ALTO BENI,atencion odontologica,cirugia bucal menor,2015-01-01,2,0,3,4,0,2,6,9,0,0,0,0,0,0,11,15,26
ANCORAIMES,atencion odontologica,cirugia bucal menor,2015-01-01,2,0,9,7,2,5,8,22,14,15,0,0,0,0,35,49,84
ANDAMARCA,atencion odontologica,cirugia bucal menor,2015-01-01,1,1,2,4,1,0,1,1,2,0,0,0,0,0,7,6,13
ANTEQUERA,atencion odontologica,cirugia bucal menor,2015-01-01,0,2,1,1,0,0,0,0,1,1,0,0,0,0,2,4,6
ANZALDO,atencion odontologica,cirugia bucal menor,2015-01-01,1,0,0,1,1,4,2,8,1,4,0,0,0,0,5,17,22
APOLO,atencion odontologica,cirugia bucal menor,2015-01-01,2,1,1,16,0,6,3,12,1,0,0,0,0,0,7,35,42
ARAMPAMPA,atencion odontologica,cirugia bucal menor,2015-01-01,2,1,1,0,0,1,0,3,0,0,0,0,0,0,3,5,8
ARANI,atencion odontologica,cirugia bucal menor,2015-01-01,2,1,0,1,0,0,2,0,1,3,0,0,0,0,5,5,10
ARBIETO,atencion odontologica,cirugia bucal menor,2015-01-01,1,1,0,4,0,0,1,6,1,1,0,0,0,0,3,12,15
ARQUE,atencion odontologica,cirugia bucal menor,2015-01-01,1,2,7,6,2,6,5,20,2,4,0,0,0,0,17,38,55
ASCENCION DE GUARAYOS,atencion odontologica,cirugia bucal menor,2015-01-01,5,4,10,13,2,8,4,16,8,1,0,0,0,0,29,42,71
ATOCHA,atencion odontologica,cirugia bucal menor,2015-01-01,5,3,5,6,4,16,18,22,1,0,0,0,0,0,33,47,80
AUCAPATA,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,2,1,5,0,5,9,2,2,0,0,0,0,14,12,26
AYATA,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,7,1,7,8,6,15,1,2,0,0,0,0,21,26,47
AYO AYO,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,1,1,0,2,2,4,2,1,0,0,0,0,5,8,13
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,cirugia bucal menor,2015-01-01,5,8,2,4,4,5,17,8,6,5,0,0,0,0,34,30,64
AZURDUY,atencion odontologica,cirugia bucal menor,2015-01-01,1,1,2,0,0,2,3,6,0,0,0,0,0,0,6,9,15
BATALLAS,atencion odontologica,cirugia bucal menor,2015-01-01,1,3,0,0,0,3,0,0,1,2,0,0,0,0,2,8,10
BAURES,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,2,3,1,3,3,5,0,0,0,0,0,0,6,11,17
BELEN DE ANDAMARCA,atencion odontologica,cirugia bucal menor,2015-01-01,2,0,0,0,0,0,2,0,2,2,0,0,0,0,6,2,8
BELEN DE URMIRI,atencion odontologica,cirugia bucal menor,2015-01-01,0,1,2,1,0,0,0,7,1,0,0,0,0,0,3,9,12
BERMEJO,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,25,28,4,9,16,39,5,2,0,0,0,0,50,78,128
BETANZOS,atencion odontologica,cirugia bucal menor,2015-01-01,5,3,7,12,1,2,6,18,3,2,0,0,0,0,22,37,59
BUENA VISTA,atencion odontologica,cirugia bucal menor,2015-01-01,1,2,0,0,3,5,0,0,0,0,0,0,0,0,4,7,11
CABEZAS,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CAIROMA,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,10,10
"CAIZA ""D""",atencion odontologica,cirugia bucal menor,2015-01-01,2,3,8,6,2,4,3,15,8,2,0,0,0,0,23,30,53
CAJUATA,atencion odontologica,cirugia bucal menor,2015-01-01,2,4,4,10,4,7,17,22,1,0,0,0,0,0,28,43,71
CALACOTO,atencion odontologica,cirugia bucal menor,2015-01-01,0,1,1,2,0,0,2,3,2,3,0,0,0,0,5,9,14
CALAMARCA,atencion odontologica,cirugia bucal menor,2015-01-01,3,2,8,10,2,14,15,17,3,3,0,0,0,0,31,46,77
CAMARGO,atencion odontologica,cirugia bucal menor,2015-01-01,0,6,8,5,0,3,2,12,5,0,0,0,0,0,15,26,41
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,cirugia bucal menor,2015-01-01,0,0,1,1,1,0,1,1,0,1,0,0,0,0,3,3,6
CAMIRI,atencion odontologica,cirugia bucal menor,2015-01-01,3,0,12,3,3,4,11,12,5,4,0,0,0,0,34,23,57
CAPINOTA,atencion odontologica,cirugia bucal menor,2015-01-01,2,3,1,1,2,2,5,8,5,9,0,0,0,0,15,23,38
CAQUIAVIRI,atencion odontologica,cirugia bucal menor,2015-01-01,1,1,3,5,9,4,3,5,1,1,0,0,0,0,17,16,33
CARACOLLO,atencion odontologica,cirugia bucal menor,2015-01-01,2,4,32,35,2,16,16,35,4,10,0,0,0,0,56,100,156
CARANAVI,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,0,2,0,0,2,2,0,0,0,0,0,0,2,4,6
CARAPARI,atencion odontologica,cirugia bucal menor,2015-01-01,0,2,1,7,3,6,6,9,5,0,0,0,0,0,15,24,39
CARIPUYO,atencion odontologica,cirugia bucal menor,2015-01-01,2,0,4,4,1,2,3,13,1,2,0,0,0,0,11,21,32
CARMEN RIVERO TORREZ,atencion odontologica,cirugia bucal menor,2015-01-01,1,1,0,0,0,1,1,23,3,6,0,0,0,0,5,31,36
CATACORA,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,0,1,0,3,0,5,2,0,0,0,0,0,2,9,11
CHALLAPATA,atencion odontologica,cirugia bucal menor,2015-01-01,6,3,32,22,1,2,10,19,0,3,0,0,0,0,49,49,98
