,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-01-01,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-01-01,0,0,1,2,0,0,0,2,0,0,0,0,0,0,1,4,5
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-01-01,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,3
MAGDALENA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-01-01,2,0,3,13,2,0,1,6,0,0,0,0,0,0,8,19,27
MOJOCOYA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
OCURI,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-01-01,0,0,0,2,0,0,8,16,1,9,0,0,0,0,9,27,36
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-01-01,0,0,0,0,21,7,15,5,2,1,0,0,0,0,38,13,51
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-01-01,0,1,7,11,0,1,0,0,0,0,0,0,0,0,7,13,20
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-01-01,0,0,0,2,9,5,6,5,0,0,0,0,0,0,15,12,27
URIONDO (A. CONCEPCION),atencion odontologica,cirugia bucomaxilofacial  mediana,2015-01-01,0,0,1,3,1,1,7,8,0,1,0,0,0,0,9,13,22
AZURDUY,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-02-01,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LA ASUNTA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-02-01,2,0,7,3,1,4,6,17,2,0,0,0,0,0,18,24,42
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-02-01,0,1,1,1,0,0,3,1,0,0,0,0,0,0,4,3,7
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-02-01,0,0,0,0,2,1,5,5,1,1,0,0,0,0,8,7,15
PUNATA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN IGNACIO DE VELASCO,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-02-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
SAN JUAN DE YAPACANI,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-02-01,0,0,1,2,0,0,3,4,0,0,0,0,0,0,4,6,10
SAN RAMON BENI,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-02-01,0,0,2,4,1,0,0,8,0,1,0,0,0,0,3,13,16
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-02-01,1,2,2,0,0,2,7,0,1,0,0,0,0,0,11,4,15
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-02-01,1,0,1,0,1,0,1,1,0,0,0,0,0,0,4,1,5
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-02-01,1,0,0,0,2,0,4,3,2,0,0,0,0,0,9,3,12
TARVITA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-02-01,0,0,0,0,1,2,1,6,1,2,0,0,0,0,3,10,13
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TUPIZA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-02-01,0,0,1,0,0,0,1,11,3,2,0,0,0,0,5,13,18
URIONDO (A. CONCEPCION),atencion odontologica,cirugia bucomaxilofacial  mediana,2015-02-01,0,0,3,3,1,1,2,3,0,0,0,0,0,0,6,7,13
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-03-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
HUARACAJE,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-03-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
LAGUNILLAS,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-03-01,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,6
MAPIRI,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-03-01,2,0,1,2,0,4,4,1,1,1,0,0,0,0,8,8,16
PORONGO,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-03-01,0,0,1,2,3,4,5,6,7,8,0,0,0,0,16,20,36
SAN IGNACIO DE VELASCO,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-03-01,0,0,0,0,0,0,6,5,0,2,0,0,0,0,6,7,13
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-03-01,1,0,0,0,1,4,5,7,2,1,0,0,0,0,9,12,21
SHINAOTA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-03-01,0,0,0,0,0,0,0,3,2,10,0,0,0,0,2,13,15
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-03-01,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,4
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-03-01,0,1,0,0,1,2,10,16,1,2,0,0,0,0,12,21,33
TEOPONTE,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-03-01,2,0,2,1,0,3,3,13,3,0,0,0,0,0,10,17,27
TUPIZA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-03-01,0,0,5,1,1,4,10,17,6,1,0,0,0,0,22,23,45
