,group,variable,month,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA EMB,PRIMERA CONSULTA EMB,PRIMERA CONSULTA POST,PRIMERA CONSULTA POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,primera consulta,2015-01-01,3,7,6,0,1,5,4,12,1,2,0,0,0,0,15,26,41
ACHACACHI,atencion odontologica,primera consulta,2015-01-01,31,35,16,20,10,16,17,39,10,10,0,1,0,2,84,123,207
ACHOCALLA,atencion odontologica,primera consulta,2015-01-01,64,56,43,37,10,34,16,36,0,2,0,17,0,16,133,198,331
AIQUILE,atencion odontologica,primera consulta,2015-01-01,10,13,6,6,0,0,1,4,3,5,0,13,0,4,20,45,65
ALCALA,atencion odontologica,primera consulta,2015-01-01,59,56,13,6,5,7,10,16,3,1,0,7,0,4,90,97,187
ALTO BENI,atencion odontologica,primera consulta,2015-01-01,16,16,4,4,0,3,6,13,1,1,0,4,0,1,27,42,69
ANCORAIMES,atencion odontologica,primera consulta,2015-01-01,12,11,11,7,4,10,11,27,15,12,0,1,0,0,53,68,121
ANDAMARCA,atencion odontologica,primera consulta,2015-01-01,6,8,10,10,2,8,10,14,5,5,0,5,0,2,33,52,85
ANTEQUERA,atencion odontologica,primera consulta,2015-01-01,3,5,5,5,0,0,15,21,1,3,0,5,0,1,24,40,64
ANZALDO,atencion odontologica,primera consulta,2015-01-01,25,16,1,2,2,7,7,23,2,9,0,2,0,12,37,71,108
APOLO,atencion odontologica,primera consulta,2015-01-01,2,3,1,10,1,2,3,7,1,0,0,0,0,4,8,26,34
ARAMPAMPA,atencion odontologica,primera consulta,2015-01-01,17,7,2,1,0,2,6,9,11,8,0,3,0,1,36,31,67
ARANI,atencion odontologica,primera consulta,2015-01-01,5,7,9,9,1,1,5,16,1,2,0,3,0,2,21,40,61
ARBIETO,atencion odontologica,primera consulta,2015-01-01,30,36,12,12,1,16,5,30,12,14,0,12,0,18,60,138,198
ARQUE,atencion odontologica,primera consulta,2015-01-01,4,6,6,7,4,7,11,39,2,6,0,8,0,9,27,82,109
ASCENCION DE GUARAYOS,atencion odontologica,primera consulta,2015-01-01,38,37,22,24,0,10,10,22,2,3,0,32,0,6,72,134,206
ATOCHA,atencion odontologica,primera consulta,2015-01-01,37,29,59,57,26,57,125,116,15,8,0,12,0,0,262,279,541
AUCAPATA,atencion odontologica,primera consulta,2015-01-01,3,0,2,2,6,1,4,11,2,2,0,1,0,0,17,17,34
AYATA,atencion odontologica,primera consulta,2015-01-01,3,2,8,4,5,2,9,21,1,2,0,1,0,2,26,34,60
AYO AYO,atencion odontologica,primera consulta,2015-01-01,6,6,7,6,1,9,4,21,4,3,0,0,0,1,22,46,68
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,primera consulta,2015-01-01,30,48,26,18,16,26,34,59,8,8,0,17,0,21,114,197,311
AZURDUY,atencion odontologica,primera consulta,2015-01-01,4,1,3,1,2,9,6,18,0,0,0,10,0,0,15,39,54
BATALLAS,atencion odontologica,primera consulta,2015-01-01,1,1,4,8,1,10,9,9,5,4,0,1,0,3,20,36,56
BAURES,atencion odontologica,primera consulta,2015-01-01,2,1,6,4,6,8,15,20,5,2,0,0,0,3,34,38,72
BELEN DE ANDAMARCA,atencion odontologica,primera consulta,2015-01-01,10,6,6,3,0,7,3,4,5,3,0,4,0,2,24,29,53
BELEN DE URMIRI,atencion odontologica,primera consulta,2015-01-01,7,10,2,2,0,1,1,6,2,0,0,1,0,1,12,21,33
BELLA FLOR,atencion odontologica,primera consulta,2015-01-01,13,24,34,20,4,5,2,2,0,0,0,2,0,1,53,54,107
BERMEJO,atencion odontologica,primera consulta,2015-01-01,15,17,76,86,34,118,112,217,27,26,0,33,0,0,264,497,761
BETANZOS,atencion odontologica,primera consulta,2015-01-01,47,39,18,27,16,19,34,72,11,10,0,11,0,13,126,191,317
BOLIVAR,atencion odontologica,primera consulta,2015-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BOLPEBRA,atencion odontologica,primera consulta,2015-01-01,3,9,0,0,0,0,1,4,0,0,0,0,0,0,4,13,17
BOYUIBE,atencion odontologica,primera consulta,2015-01-01,1,5,9,10,3,9,7,6,2,2,0,0,0,0,22,32,54
BUENA VISTA,atencion odontologica,primera consulta,2015-01-01,9,8,13,13,6,14,7,25,6,2,0,0,0,0,41,62,103
CABEZAS,atencion odontologica,primera consulta,2015-01-01,78,85,15,25,37,37,45,92,15,21,0,43,0,18,190,321,511
CAIROMA,atencion odontologica,primera consulta,2015-01-01,12,30,13,19,4,18,19,34,0,5,0,13,0,10,48,129,177
"CAIZA ""D""",atencion odontologica,primera consulta,2015-01-01,15,20,13,15,3,4,12,37,4,7,0,7,0,11,47,101,148
CAJUATA,atencion odontologica,primera consulta,2015-01-01,24,36,4,13,5,16,16,36,1,0,0,4,0,15,50,120,170
CALACOTO,atencion odontologica,primera consulta,2015-01-01,5,7,7,7,1,1,7,3,3,6,0,2,0,0,23,26,49
CALAMARCA,atencion odontologica,primera consulta,2015-01-01,33,36,26,16,17,23,31,58,8,8,0,5,0,7,115,153,268
CAMARGO,atencion odontologica,primera consulta,2015-01-01,210,35,8,9,1,10,10,53,5,2,0,19,0,9,234,137,371
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,primera consulta,2015-01-01,8,6,3,4,3,0,5,1,0,1,0,1,0,0,19,13,32
CAMIRI,atencion odontologica,primera consulta,2015-01-01,53,55,45,39,15,35,55,82,19,15,0,33,0,13,187,272,459
CAPINOTA,atencion odontologica,primera consulta,2015-01-01,51,25,71,57,23,31,38,65,14,12,0,7,0,5,197,202,399
CAQUIAVIRI,atencion odontologica,primera consulta,2015-01-01,11,10,9,8,5,15,16,34,6,7,0,10,0,7,47,91,138
CARACOLLO,atencion odontologica,primera consulta,2015-01-01,20,20,39,47,6,26,28,73,5,8,0,17,0,3,98,194,292
CARANAVI,atencion odontologica,primera consulta,2015-01-01,55,43,15,14,13,14,19,34,16,9,0,13,0,16,118,143,261
CARAPARI,atencion odontologica,primera consulta,2015-01-01,6,5,18,41,27,66,49,94,5,5,0,2,0,5,105,218,323
CARIPUYO,atencion odontologica,primera consulta,2015-01-01,28,20,8,9,2,7,7,16,1,3,0,2,0,5,46,62,108
CARMEN RIVERO TORREZ,atencion odontologica,primera consulta,2015-01-01,80,55,1,3,0,7,2,37,3,6,0,28,0,22,86,158,244
CATACORA,atencion odontologica,primera consulta,2015-01-01,4,0,1,3,2,4,1,4,1,0,0,0,0,1,9,12,21
